,,,,,,,,,,,,,,,,,,,,,
,9.,,Race:,Monza,,,,,,,,,,,Teamwertung,,Monza,,,,
,41,, Drivers             Date:,17.07.2023,Fastest Lap:,"1:47,249",by,RTC-Viper-,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,RTC-Viper-,,,,DD,DI,DJ,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,FGR_Topeca,Feelgood Racing,Toyota GR Supra,,1,,"0:51:14,323",,  41 ³,,44,,1,International Racing Crew [1],Roozay_33,37,Highwaystar1980,32,69
,2,,MADze-_-,No Facksen Racing,Nissan GT-R '18,,1,,"0:51:20,179","+ 0:05,856",  40 ²,,42,,2,International Racing Crew [2],LNX1613,30,HM_derspieth,29,59
,3,,RTC-Viper-,Racing Team Coyote,Ford GT LM,,1,,"0:51:21,884","+ 0:07,561",¹ 39 ¹,,41,,3,KotzBärTV [1],KBTV_funky,34,KBTV_Normbiz_GT,22,56
,4,,SJB_1973,Roadrunner Racing,Nissan GT-R '18,,2,,"0:51:31,264","+ 0:16,941",38,,38,,4,Rhein-Rur-Motosport [1],Erik_Ewetke,31,RRM-Schumi,25,56
,5,,Roozay_33,International Racing Crew,Nissan GT-R '18,,1,,"0:51:32,575","+ 0:18,252",37,,37,,5,No Facksen Racing [1],MADze-_-,42,Badger--04,10,52
,6,,J-de-Shadaim,de Shadaim Racing,Nissan GT-R '18,,1,,"0:51:36,221","+ 0:21,898",36,,36,,6,Maibert MacLon Racing [1],GORGI_meets_GT,35,L-O-N,16,51
,7,,GORGI_meets_GT,Maibert MacLon Racing,Nissan GT-R '18,,1,,"0:51:36,765","+ 0:22,442",35,,35,,7,Racing Team Coyote [1],RTC-Viper-,41,boky2006zg,7,48
,8,,KBTV_funky,KotzBärTV,Toyota GR Supra,,1,,"0:51:37,923","+ 0:23,600",34,,34,,8,Angry Antz Racing [1],Bamboobear,28,Wernersen5519,18,46
,9,,TRR-Zipfelfink,THE Roadrunners,Genesis X,,2,,"0:51:37,939","+ 0:23,616",33,,33,,9,Singen Süd Racing [1],Over_1638,24,c-maanreri,21,45
,10,,Highwaystar1980,International Racing Crew,Toyota GR Supra,,3,,"0:51:40,894","+ 0:26,571",32,,32,,10,Feelgood Racing [1],FGR_Topeca,44,,,44
,11,,Erik_Ewetke,Rhein-Rur-Motosport,Toyota GR Supra,,1,,"0:51:41,806","+ 0:27,483",31,,31,,11,THE Roadrunners [1],TRR-Zipfelfink,33,Quitzowscaniav88,11,44
,12,,LNX1613,International Racing Crew,Toyota GR Supra,,2,,"0:51:41,807","+ 0:27,484",30,,30,,12,Roadrunner Racing [1],SJB_1973,38,Kawa-Jo,1,39
,13,,HM_derspieth,International Racing Crew,Nissan GT-R '18,,2,,"0:51:45,747","+ 0:31,424",29,,29,,13,de Shadaim Racing [1],J-de-Shadaim,36,,,36
,14,,Bamboobear,Angry Antz Racing,Nissan GT-R '18,,2,,"0:51:46,629","+ 0:32,306",28,,28,,14,Rhein-Rur-Motosport [2],oooBismarkooo,23,Lumpi-0707,12,35
,15,,Bjarne / flauschige_Panda,Pandabrake Racing,Toyota GR Supra,,1,,"0:51:52,073","+ 0:37,750",27,,27,,15,GTmen [1],TheLamb74,26,mironight1,1,27
,16,,TheLamb74,GTmen,Genesis X,,3,,"0:51:52,134","+ 0:37,811",26,,26,,16,Pandabrake Racing [1],Bjarne / flauschige_Panda,27,,,27
,17,,RRM-Schumi,Rhein-Rur-Motosport,Toyota GR Supra,,2,,"0:51:53,426","+ 0:39,103",25,,25,,17,Singen Süd Racing [2],Uchiha14,17,ren-bvb09,9,26
,18,,Over_1638,Singen Süd Racing,Nissan GT-R '18,,1,,"0:51:53,730","+ 0:39,407",24,,24,,18,Herrmann Motorsport [1],HM_Tobi,19,Bladde90,1,20
,19,,oooBismarkooo,Rhein-Rur-Motosport,Toyota GR Supra,,3,,"0:51:55,873","+ 0:41,550",23,,23,,19,Maibert MacLon Racing [2],Peter-zockt-1984,13,GT-Hosss669,5,18
,20,,KBTV_Normbiz_GT,KotzBärTV,Genesis X,,1,,"0:51:56,174","+ 0:41,851",22,,22,,20,Project Apex [1],PrA-doctorjones,14,,,14
,21,,c-maanreri,Singen Süd Racing,Ford GT LM,,2,,"0:51:59,210","+ 0:44,887",21,,21,,21,Digital Racing Cologne [1],Timfra,8,,,8
,22,,D4NT3_BL4xX,,Ford Mustang,,2,+1s,"0:51:59,598","+ 0:45,275",20,,20,,22,Schnieders Sim Karting [1],batt_night220,4,,,4
,23,,HM_Tobi,Herrmann Motorsport,Peugeot VGT,,3,,"0:52:02,752","+ 0:48,429",19,,19,,,,,,,,
,24,,Wernersen5519,Angry Antz Racing,Toyota GR Supra,,2,,"0:52:07,226","+ 0:52,903",18,,18,,,,,,,,
,25,,Uchiha14,Singen Süd Racing,Genesis X,,3,,"0:52:09,323","+ 0:55,000",17,,17,,,,,,,,
,26,,L-O-N,Maibert MacLon Racing,Genesis X,,3,,"0:52:10,869","+ 0:56,546",16,,16,,,,,,,,
,27,,armeddotter,,Ford GT LM,,2,,"0:52:13,416","+ 0:59,093",15,,15,,,,,,,,
,28,,PrA-doctorjones,Project Apex,Porsche 911 RSR,,1,,"0:52:14,025","+ 0:59,702",14,,14,,,,,,,,
,29,,Peter-zockt-1984,Maibert MacLon Racing,Toyota GR Supra,,2,,"0:52:14,805","+ 1:00,482",13,,13,,,,,,,,
,30,,Lumpi-0707,Rhein-Rur-Motosport,Genesis X,,3,,"0:52:18,584","+ 1:04,261",12,,12,,,,,,,,
,31,,Quitzowscaniav88,THE Roadrunners,Porsche 911 RSR,,3,,"0:52:18,897","+ 1:04,574",11,,11,,,,,,,,
,32,,Badger--04,No Facksen Racing,Ford Mustang,,3,,"0:52:25,218","+ 1:10,895",10,,10,,,,,,,,
,33,,ren-bvb09,Singen Süd Racing,Nissan GT-R '18,,2,,"0:52:28,002","+ 1:13,679",9,,9,,,,,,,,
,34,,Timfra,Digital Racing Cologne,McLaren 650S,,3,,"0:52:32,396","+ 1:18,073",8,,8,,,,,,,,
,35,,boky2006zg,Racing Team Coyote,Ford GT LM,,1,,"0:52:32,806","+ 1:18,483",7,,7,,,,,,,,
,36,,TheGreatBeamie,,Toyota GR Supra,,3,,"0:52:35,568","+ 1:21,245",6,,6,,,,,,,,
,37,,GT-Hosss669,Maibert MacLon Racing,Ferrari 458,,3,,"0:52:43,767","+ 1:29,444",5,,5,,,,,,,,
,38,,batt_night220,Schnieders Sim Karting,Mazda RX,,3,,"0:54:20,622","+ 3:06,299",4,,4,,,,,,,,
,39,,mironight1,GTmen,Genesis X,,1,+93s,"8:00:00,000",DNF,1,,1,,,,,,,,
,40,,Kawa-Jo,Roadrunner Racing,Nissan GT-R '18,,1,,"8:00:00,000",DNF,1,,1,,,,,,,,
,41,,Bladde90,Herrmann Motorsport,Toyota GR Supra,,2,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,22,,Driver,,,Team-1,3,,4,,Σ 2
,,,Angry Antz Racing [1],Bamboobear,28,Wernersen5519,18,46,1,Angry Antz Racing,,,2,,,,,,,,
,,,de Shadaim Racing [1],J-de-Shadaim,36,,,36s,2,de Shadaim Racing,,,1,,,,,,,,
,,,Digital Racing Cologne [1],Timfra,8,,,8s,3,Digital Racing Cologne,,,1,,,,,,,,
,,,Feelgood Racing [1],FGR_Topeca,44,,,44s,4,Feelgood Racing,,,1,,,,,,,,
,,,GTmen [1],TheLamb74,26,mironight1,1,27s,5,GTmen,,,2,,,,,,,,
,,,Herrmann Motorsport [1],HM_Tobi,19,Bladde90,1,20s,6,Herrmann Motorsport,,,2,,,,,,,,
,,,International Racing Crew [1],Roozay_33,37,Highwaystar1980,32,69s,7,International Racing Crew,,,4,,,International Racing Crew [2],LNX1613,30,HM_derspieth,29,59
,,,KotzBärTV [1],KBTV_funky,34,KBTV_Normbiz_GT,22,56s,8,KotzBärTV,,,2,,,,,,,,
,,,Maibert MacLon Racing [1],GORGI_meets_GT,35,L-O-N,16,51s,9,Maibert MacLon Racing,,,4,,,Maibert MacLon Racing [2],Peter-zockt-1984,13,GT-Hosss669,5,18
,,,No Facksen Racing [1],MADze-_-,42,Badger--04,10,52s,10,No Facksen Racing,,,2,,,,,,,,
