,,,,,,,,,,,,,,,,,,,,,
,4.,,Race:,Spa-Francorchamps,,,,,,,,,,,Teamwertung,,Spa-Francorchamps,,,,
,40,, Drivers             Date:,23.10.2023,Fastest Lap:,"2:15,693",by,PrA-Riethelm91,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,PrA-Riethelm91,,,,AQ,AV,AW,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,PrA-Riethelm91,Project Apex,McLaren 650S,,1,,"0:50:53,596",,¹ 40 ³,,44,,1,Project Apex [1],PrA-Riethelm91,44,PrA-doctorjones,37,81
,2,,FGR_M-Rabak,Feelgood Racing,Nissan GT-R '18,,1,,"0:51:02,700","+ 0:09,104",  39 ²,,41,,2,KotzBärTV [1],KBTV_Rocket,35,KBTV_Normbiz_GT,32,67
,3,,J-de-Shadaim,de Shadaim Racing,Genesis X,,1,,"0:51:10,375","+ 0:16,779",  38 ¹,,39,,3,International Racing Crew [1],IRC_Puppe,33,PMR_Swissracer66,29,62
,4,,PrA-doctorjones,Project Apex,McLaren 650S,,1,,"0:51:10,718","+ 0:17,122",37,,37,,4,Racing Team Coyote [1],boky2006zg,30,PrimeApeX21,27,57
,5,,SWR-Semtex,Stiftung Wagentest Racing,McLaren 650S,,1,,"0:51:13,575","+ 0:19,979",36,,36,,5,KotzBärTV [2],KBTV_Jenner,31,KBTV_xpress,26,57
,6,,KBTV_Rocket,KotzBärTV,Toyota GR Supra,,1,,"0:51:24,031","+ 0:30,435",35,,35,,6,Maibert MacLon Racing [1],Gorgi_meets_GT,34,Peter-zockt-1984,20,54
,7,,Gorgi_meets_GT,Maibert MacLon Racing,McLaren 650S,,1,,"0:51:27,031","+ 0:33,435",34,,34,,7,de Shadaim Racing [1],J-de-Shadaim,39,mr_osaka7,12,51
,8,,IRC_Puppe,International Racing Crew,McLaren 650S,,2,,"0:51:28,554","+ 0:34,958",33,,33,,8,Feelgood Racing [1],FGR_M-Rabak,41,FGR_Topeca,5,46
,9,,KBTV_Normbiz_GT,KotzBärTV,Dodge Viper,,2,,"0:51:29,516","+ 0:35,920",32,,32,,9,Stiftung Wagentest Racing [1],SWR-Semtex,36,,,36
,10,,KBTV_Jenner,KotzBärTV,Toyota GR Supra,,1,+4s,"0:51:32,137","+ 0:38,541",31,,31,,10,Rhein-Rur-Motorsport [1],Lumpi-0707,18,oooBismarkooo,16,34
