,,,,,,,,,,,,,,,,,,,,,
,3.,,Race:,Blue Moon Bay - A,,,,,,,,,,,Teamwertung,,Blue Moon Bay - A,,,,
,51,, Drivers             Date:,22.05.2023,Fastest Lap:,"1:05,862",by,FGR_Supergt,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,FGR_Supergt,,,,AD,AI,AJ,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,FGR_Supergt,Feelgood Racing,Toyota GR Supra,,1,,"0:50:05,774",,¹ 51 ³,,55,,1,Feelgood Racing [1],FGR_Supergt,55,FGR_Topeca,36,91
,2,,KBTV_Normbiz_GT,KotzBärTV,BMW M6 Endurance '16,,1,,"0:50:26,302","+ 0:20,528",  50 ²,,52,,2,International Racing Crew [1],Roozay_33,48,PMR_Swissracer66,42,90
,3,,Erik_Ewetke,Rhein-Rur-Motosport,Toyota GR Supra,,2a,,"0:50:34,464","+ 0:28,690",  49 ¹,,50,,3,Rhein-Rur-Motosport [1],Erik_Ewetke,50,oooBismarkooo,26,76
,4,,Roozay_33,International Racing Crew,Peugeot RCZ,,1,,"0:50:35,467","+ 0:29,693",48,,48,,4,Roadrunner Racing [1],HankCastelli,41,INS4NE-BR0-GR1M,35,76
,5,,crysu69,GTmen,VW BEETLE,,2b,,"0:50:37,826","+ 0:32,052",47,,47,,5,Singen Süd Racing [1],Over_1638,44,c-maanreri,30,74
,6,,GORGI_meets_GT,Maibert MacLon Racing,Peugeot RCZ,,1,,"0:50:39,309","+ 0:33,535",46,,46,,6,KotzBärTV [1],KBTV_Normbiz_GT,52,KBTV_Rocket,21,73
,7,,Dr-Prof-BamBam,Fun Racing League,McLaren 650S,,2b,,"0:50:46,460","+ 0:40,686",45,,45,,7,Maibert MacLon Racing [1],GORGI_meets_GT,46,Peter-zockt-1984,25,71
,8,,Over_1638,Singen Süd Racing,Toyota GR Supra,,1,,"0:50:48,061","+ 0:42,287",44,,44,,8,Racing Team Coyote [1],boky2006zg,37,jppganhao,34,71
,9,,HM_derspieth,Resistance Motorsport,Toyota GR Supra,,2a,,"0:50:49,115","+ 0:43,341",43,,43,,9,GTmen [1],crysu69,47,KillaZwerg,22,69
,10,,PMR_Swissracer66,International Racing Crew,Peugeot RCZ,,2a,,"0:50:49,262","+ 0:43,488",42,,42,,10,de Shadaim Racing [1],mr_osaka7,33,J-de-Shadaim,31,64
,11,,HankCastelli,Roadrunner Racing,Renault R.S.01,,1,,"0:50:50,064","+ 0:44,290",41,,41,,11,Noller Racing Team [1],NLR-Knudsen84,40,KampfPsychoooo,18,58
,12,,NLR-Knudsen84,Noller Racing Team,BMW M6 Sprint '16,,1,+7s,"0:50:50,171","+ 0:44,397",40,,40,,12,THE Roadrunners [1],TRR-Zipfelfink,29,Quitzowscaniav88,19,48
,13,,PrA-doctorjones,Project Apex,BMW M6 Endurance '16,,2b,,"0:50:50,842","+ 0:45,068",39,,39,,13,Fun Racing League [1],Dr-Prof-BamBam,45,,,45
,14,,LNX1613,International Racing Crew,Porsche 911 RSR,,3,,"0:50:56,323","+ 0:50,549",38,,38,,14,International Racing Crew [2],LNX1613,38,Highwaystar1980,7,45
,15,,boky2006zg,Racing Team Coyote,Renault R.S.01,,2a,,"0:50:59,013","+ 0:53,239",37,,37,,15,Resistance Motorsport [1],HM_derspieth,43,Fynn-connor,1,44
