,,,,,,,,,,,,,,,,,,,,,
,5.,,Race:,Daytona Straßenkurs,,,,,,,,,,,Teamwertung,,Daytona Straßenkurs,,,,
,39,, Drivers             Date:,12.06.2023,Fastest Lap:,"1:44,351",by,Roozay_33,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Roozay_33,,,,BD,BI,BJ,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,Roozay_33,International Racing Crew,Peugeot VGT,,1,,"0:52:02,684",,¹ 39 ³,,43,,1,International Racing Crew [1],Roozay_33,43,PMR_Swissracer66,31,74
,2,,Schweikinho,Singen Süd Racing,Peugeot VGT,,2,,"0:52:10,272","+ 0:07,588",  38 ²,,40,,2,Singen Süd Racing [1],Schweikinho,40,Over_1638,33,73
,3,,Kawa-Jo,Roadrunner Racing,Ford GT LM,,1,,"0:52:16,820","+ 0:14,136",  37 ¹,,38,,3,Roadrunner Racing [1],Kawa-Jo,38,HankCastelli,23,61
,4,,GORGI_meets_GT,Maibert MacLon Racing,Peugeot VGT,,1,,"0:52:17,058","+ 0:14,374",36,,36,,4,de Shadaim Racing [1],J-de-Shadaim,30,mr_osaka7,27,57
,5,,KBTV_Normbiz_GT,KotzBärTV,Ford GT LM,,1,,"0:52:20,983","+ 0:18,298",35,,35,,5,Maibert MacLon Racing [1],GORGI_meets_GT,36,Peter-zockt-1984,20,56
,6,,D4NT3_BL4xX,,Ford Mustang,,2,,"0:52:25,070","+ 0:22,386",34,,34,,6,GTmen [1],MacFracerEX,26,KillaZwerg,21,47
,7,,Over_1638,Singen Süd Racing,Peugeot VGT,,1,,"0:52:27,895","+ 0:25,210",33,,33,,7,Racing Team Coyote [1],jppganhao,28,boky2006zg,18,46
,8,,Dr-Prof-BamBam,Fun Racing League,Peugeot VGT,,2,,"0:52:29,543","+ 0:26,859",32,,32,,8,International Racing Crew [2],Highwaystar1980,25,LNX1613,19,44
,9,,PMR_Swissracer66,International Racing Crew,Peugeot VGT,,2,,"0:52:31,125","+ 0:28,441",31,,31,,9,Singen Süd Racing [2],c-maanreri,29,Uchiha14,11,40
,10,,J-de-Shadaim,de Shadaim Racing,Peugeot VGT,,1,,"0:52:32,634","+ 0:29,949",30,,30,,10,KotzBärTV [1],KBTV_Normbiz_GT,35,,,35
,11,,c-maanreri,Singen Süd Racing,Peugeot VGT,,2,,"0:52:33,346","+ 0:30,662",29,,29,,11,Fun Racing League [1],Dr-Prof-BamBam,32,,,32
,12,,jppganhao,Racing Team Coyote,Toyota GR Supra,,1,,"0:52:33,722","+ 0:31,037",28,,28,,12,Feelgood Racing [1],FGR_Topeca,24,FGR_Supergt,6,30
,13,,mr_osaka7,de Shadaim Racing,Peugeot VGT,,2,,"0:52:35,091","+ 0:32,406",27,,27,,13,Rhein-Rur-Motosport [1],RRM-Schumi,16,Erik_Ewetke,12,28
,14,,MacFracerEX,GTmen,Peugeot VGT,,3,,"0:52:37,268","+ 0:34,583",26,,26,,14,Project Apex [1],PrA-doctorjones,22,,,22
,15,,Highwaystar1980,International Racing Crew,Peugeot VGT,,3,,"0:52:38,724","+ 0:36,040",25,,25,,15,Roadrunner Racing [2],SJB_1973,17,,,17
,16,,FGR_Topeca,Feelgood Racing,Toyota GR Supra,,1,+39s,"0:52:41,401","+ 0:38,717",24,,24,,16,Rhein-Rur-Motosport [2],|--Hennes--|,8,Lumpi-0707,7,15
,17,,HankCastelli,Roadrunner Racing,Ford GT LM,,1,,"0:52:42,678","+ 0:39,994",23,,23,,17,Resistance Motorsport [1],HM_derspieth,14,,,14
,18,,PrA-doctorjones,Project Apex,Toyota GR Supra,,2,,"0:52:47,088","+ 0:44,404",22,,22,,18,THE Roadrunners [1],Quitzowscaniav88,13,,,13
,19,,KillaZwerg,GTmen,Toyota GR Supra,,2,,"0:52:51,047","+ 0:48,363",21,,21,,19,No Facksen Racing [1],Badger--04,10,,,10
,20,,Peter-zockt-1984,Maibert MacLon Racing,Toyota GR Supra,,2,,"0:52:57,535","+ 0:54,851",20,,20,,20,Racing Team Coyote [2],PrimeapeX21,4,,,4
,21,,LNX1613,International Racing Crew,Peugeot VGT,,2,,"0:52:57,555","+ 0:54,871",19,,19,,21,Herrmann Motorsport [1],Bladde90,3,,,3
,22,,boky2006zg,Racing Team Coyote,Ford GT LM,,1,,"0:52:57,649","+ 0:54,964",18,,18,,22,Maibert MacLon Racing [2],Beni_149,2,L-O-N,1,3
,23,,SJB_1973,Roadrunner Racing,McLaren 650S,,2,,"0:52:57,700","+ 0:55,016",17,,17,,,,,,,,
,24,,RRM-Schumi,Rhein-Rur-Motosport,Ford GT LM,,2,,"0:52:58,170","+ 0:55,486",16,,16,,,,,,,,
,25,,armeddotter,,Corvette C7,,2,,"0:52:58,257","+ 0:55,573",15,,15,,,,,,,,
,26,,HM_derspieth,Resistance Motorsport,Toyota GR Supra,,2,,"0:53:05,979","+ 1:03,295",14,,14,,,,,,,,
,27,,Quitzowscaniav88,THE Roadrunners,Porsche 911 RSR,,3,,"0:53:10,149","+ 1:07,465",13,,13,,,,,,,,
,28,,Erik_Ewetke,Rhein-Rur-Motosport,Peugeot VGT,,1,,"0:53:14,550","+ 1:11,865",12,,12,,,,,,,,
,29,,Uchiha14,Singen Süd Racing,Ford GT LM,,3,,"0:53:19,796","+ 1:17,112",11,,11,,,,,,,,
,30,,Badger--04,No Facksen Racing,Toyota GR Supra,,3,,"0:53:21,438","+ 1:18,753",10,,10,,,,,,,,
,31,,ren-bvb09,Singen Süd Racing,Peugeot VGT,,3,,"0:53:28,648","+ 1:25,963",9,,9,,,,,,,,
,32,,|--Hennes--|,Rhein-Rur-Motosport,BMW Z4,,3,+21s,"0:53:29,221","+ 1:26,536",8,,8,,,,,,,,
,33,,Lumpi-0707,Rhein-Rur-Motosport,Peugeot VGT,,3,,"0:53:29,726","+ 1:27,042",7,,7,,,,,,,,
,34,,FGR_Supergt,Feelgood Racing,Toyota GR Supra,,1,,"0:53:35,597","+ 1:32,913",6,,6,,,,,,,,
,35,,TheGreatBeamie,,Toyota GR Supra,,3,,"0:53:44,838","+ 1:42,154",5,,5,,,,,,,,
,36,,PrimeapeX21,Racing Team Coyote,BMW M6 Sprint '16,,2,,"0:54:15,172","+ 2:12,488",4,,4,,,,,,,,
,37,,Bladde90,Herrmann Motorsport,Porsche 911 RSR,,3,+33s,"0:54:16,468","+ 2:13,784",3,,3,,,,,,,,
,38,,Beni_149,Maibert MacLon Racing,Audi R8 LMS Evo '19,,3,,"0:55:20,202","+ 3:17,518",2,,2,,,,,,,,
,39,,L-O-N,Maibert MacLon Racing,Toyota GR Supra,,3,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,22,,Driver,,,Team-1,3,,4,,Σ 2
,,,de Shadaim Racing [1],J-de-Shadaim,30,mr_osaka7,27,57,1,de Shadaim Racing,,,2,,,,,,,,
,,,Feelgood Racing [1],FGR_Topeca,24,FGR_Supergt,6,30s,2,Feelgood Racing,,,2,,,,,,,,
,,,Fun Racing League [1],Dr-Prof-BamBam,32,,,32s,3,Fun Racing League,,,1,,,,,,,,
,,,GTmen [1],MacFracerEX,26,KillaZwerg,21,47s,4,GTmen,,,2,,,,,,,,
,,,Herrmann Motorsport [1],Bladde90,3,,,3s,5,Herrmann Motorsport,,,1,,,,,,,,
,,,International Racing Crew [1],Roozay_33,43,PMR_Swissracer66,31,74s,6,International Racing Crew,,,4,,,International Racing Crew [2],Highwaystar1980,25,LNX1613,19,44
,,,KotzBärTV [1],KBTV_Normbiz_GT,35,,,35s,7,KotzBärTV,,,1,,,,,,,,
,,,Maibert MacLon Racing [1],GORGI_meets_GT,36,Peter-zockt-1984,20,56s,8,Maibert MacLon Racing,,,4,,,Maibert MacLon Racing [2],Beni_149,2,L-O-N,1,3
,,,No Facksen Racing [1],Badger--04,10,,,10s,9,No Facksen Racing,,,1,,,,,,,,
,,,Project Apex [1],PrA-doctorjones,22,,,22s,10,Project Apex,,,1,,,,,,,,
,,,Racing Team Coyote [1],jppganhao,28,boky2006zg,18,46s,11,Racing Team Coyote,,,3,,,Racing Team Coyote [2],PrimeapeX21,4,,,4
,,,Resistance Motorsport [1],HM_derspieth,14,,,14s,12,Resistance Motorsport,,,1,,,,,,,,
,,,Rhein-Rur-Motosport [1],RRM-Schumi,16,Erik_Ewetke,12,28s,13,Rhein-Rur-Motosport,,,4,,,Rhein-Rur-Motosport [2],|--Hennes--|,8,Lumpi-0707,7,15
,,,Roadrunner Racing [1],Kawa-Jo,38,HankCastelli,23,61s,14,Roadrunner Racing,,,3,,,Roadrunner Racing [2],SJB_1973,17,,,17
,,,Singen Süd Racing [1],Schweikinho,40,Over_1638,33,73s,15,Singen Süd Racing,,,5,,,Singen Süd Racing [2],c-maanreri,29,Uchiha14,11,40
,,,THE Roadrunners [1],Quitzowscaniav88,13,,,13s,16,THE Roadrunners,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BD,BI,BJ,,,,,,,,,,,,
