,,,,,,,,,,,,,,,,,,,,,
,2.,,Race:,Fuji International Speedway,,,,,,,,,,,Teamwertung,,Fuji International Speedway,,,,
,57,, Drivers             Date:,15.05.2023,Fastest Lap:,"1:37,914",by,FGR_Supergt,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,FGR_Supergt,,,,Q,V,W,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,FGR_Supergt,Feelgood Racing,Porsche 911 RSR,,1,,"0:51:38,056",,¹ 57 ³,,61,,1,Roadrunner Racing [1],Kawa-Jo,53,HankCastelli,51,104
,2,,NLR-Knudsen84,Noller Racing Team,Nissan GT-R '18,,1,,"0:51:49,442","+ 0:11,386",  56 ²,,58,,2,Racing Team Coyote [1],jppganhao,50,RTC-Viper-,47,97
,3,,Over_1638,Singen Süd Racing,Porsche 911 RSR,,1,,"0:51:50,931","+ 0:12,875",  55 ¹,,56,,3,Singen Süd Racing [1],Over_1638,56,Schweikinho,38,94
,4,,KBTV_Normbiz_GT,KotzBärTV,Porsche 911 RSR,,1,,"0:52:00,886","+ 0:22,830",54,,54,,4,Angry Antz Racing [1],Wernersen5519,48,Bamboobear,40,88
,5,,Kawa-Jo,Roadrunner Racing,Porsche 911 RSR,,1,,"0:52:09,327","+ 0:31,271",53,,53,,5,International Racing Crew [1],Roozay_33,52,PMR_Swissracer66,34,86
,6,,Roozay_33,International Racing Crew,Peugeot RCZ,,1,,"0:52:09,362","+ 0:31,306",52,,52,,6,KotzBärTV [1],KBTV_Normbiz_GT,54,KBTV_Rocket,31,85
,7,,HankCastelli,Roadrunner Racing,Porsche 911 RSR,,1,,"0:52:16,260","+ 0:38,204",51,,51,,7,Rhein-Rur-Motosport [1],RRM-Schumi,44,Erik_Ewetke,41,85
,8,,jppganhao,Racing Team Coyote,Porsche 911 RSR,,2a,,"0:52:17,348","+ 0:39,292",50,,50,,8,Maibert MacLon Racing [1],GORGI_meets_GT,46,Peter-zockt-1984,37,83
,9,,mironight1,GTmen,Ford GT LM,,1,,"0:52:17,839","+ 0:39,783",49,,49,,9,Racing Team Coyote [2],UniqueNISMO,45,boky2006zg,36,81
,10,,Wernersen5519,Angry Antz Racing,Porsche 911 RSR,,2b,,"0:52:17,951","+ 0:39,895",48,,48,,10,GTmen [1],mironight1,49,MacFracerEX,27,76
,11,,RTC-Viper-,Racing Team Coyote,Porsche 911 RSR,,2a,,"0:52:19,849","+ 0:41,793",47,,47,,11,Resistance Motorsport [1],HM_derspieth,39,Animalius609,33,72
,12,,GORGI_meets_GT,Maibert MacLon Racing,Peugeot RCZ,,1,,"0:52:22,147","+ 0:44,091",46,,46,,12,Singen Süd Racing [2],Uchiha14,35,c-maanreri,32,67
,13,,UniqueNISMO,Racing Team Coyote,Nissan GT-R '18,,1,,"0:52:22,669","+ 0:44,613",45,,45,,13,Feelgood Racing [1],FGR_Supergt,61,FGR_Topeca,1,62
,14,,RRM-Schumi,Rhein-Rur-Motosport,Ferrari 458,,2a,,"0:52:26,587","+ 0:48,531",44,,44,,14,Noller Racing Team [1],NLR-Knudsen84,58,,,58
,15,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,2a,,"0:52:28,842","+ 0:50,786",43,,43,,15,de Shadaim Racing [1],J-de-Shadaim,43,,,43
,16,,D4NT3_BL4xX,,Ford Mustang,,2a,,"0:52:30,729","+ 0:52,673",42,,42,,16,THE Roadrunners [1],TRR-Zipfelfink,28,Quitzowscaniav88,15,43
,17,,Erik_Ewetke,Rhein-Rur-Motosport,Porsche 911 RSR,,2a,,"0:52:30,867","+ 0:52,811",41,,41,,17,Rhein-Rur-Motosport [2],oooBismarkooo,25,|--Hennes--|,9,34
,18,,Bamboobear,Angry Antz Racing,Porsche 911 RSR,,2b,,"0:52:31,279","+ 0:53,223",40,,40,,18,No Facksen Racing [1],Badger--04,20,ICZ_89,11,31
,19,,HM_derspieth,Resistance Motorsport,Porsche 911 RSR,,2a,,"0:52:41,518","+ 1:03,462",39,,39,,19,Roadrunner Racing [2],INS4NE-BR0-GR1M,16,SJB_1973,13,29
,20,,Schweikinho,Singen Süd Racing,Porsche 911 RSR,,2b,,"0:52:43,351","+ 1:05,295",38,,38,,20,GTmen [2],TheLamb74,26,,,26
,21,,Peter-zockt-1984,Maibert MacLon Racing,Peugeot RCZ,,2a,,"0:52:43,608","+ 1:05,552",37,,37,,21,Maibert MacLon Racing [2],GT-Hosss669,23,L-O-N,1,24
,22,,boky2006zg,Racing Team Coyote,Renault R.S.01,,1,,"0:52:45,953","+ 1:07,897",36,,36,,22,Herrmann Motorsport [1],Bladde90,22,,,22
,23,,Uchiha14,Singen Süd Racing,Genesis X,,3,,"0:52:46,981","+ 1:08,925",35,,35,,23,International Racing Crew [2],LNX1613,17,Highwaystar1980,3,20
,24,,PMR_Swissracer66,International Racing Crew,Peugeot RCZ,,2a,,"0:52:47,732","+ 1:09,676",34,,34,,24,Resistance Motorsport [2],Fynn-connor,14,Ralf1893,6,20
,25,,Animalius609,Resistance Motorsport,Porsche 911 RSR,,1,,"0:52:48,743","+ 1:10,687",33,,33,,25,Project Apex [1],PrA-doctorjones,19,,,19
,26,,c-maanreri,Singen Süd Racing,Audi R8 LMS Evo '19,,2a,,"0:52:48,782","+ 1:10,726",32,,32,,26,Bear Racing [1],daemiaen,12,,,12
,27,,KBTV_Rocket,KotzBärTV,Porsche 911 RSR,,1,,"0:52:49,189","+ 1:11,133",31,,31,,27,Radical Racing [1],RCR_Matze2218,10,,,10
,28,,ren-bvb09,Singen Süd Racing,Toyota GR Supra,,3,,"0:52:51,196","+ 1:13,140",30,,30,,28,Digital Racing Cologne [1],Timfra,7,,,7
,29,,armeddotter,,Lamborghini '15,,2a,,"0:52:53,024","+ 1:14,968",29,,29,,,,,,,,
,30,,TRR-Zipfelfink,THE Roadrunners,Porsche 911 RSR,,2b,,"0:52:55,211","+ 1:17,155",28,,28,,,,,,,,
,31,,MacFracerEX,GTmen,Toyota GR Supra,,2a,,"0:52:57,211","+ 1:19,155",27,,27,,,,,,,,
,32,,TheLamb74,GTmen,Mazda RX,,3,,"0:52:58,147","+ 1:20,091",26,,26,,,,,,,,
,33,,oooBismarkooo,Rhein-Rur-Motosport,McLaren 650S,,3,,"0:52:59,522","+ 1:21,466",25,,25,,,,,,,,
,34,,LMP-KleCKs,,Porsche 911 RSR,,2b,,"0:53:02,715","+ 1:24,659",24,,24,,,,,,,,
,35,,GT-Hosss669,Maibert MacLon Racing,Ferrari 458,,3,,"0:53:05,817","+ 1:27,761",23,,23,,,,,,,,
,36,,Bladde90,Herrmann Motorsport,Porsche 911 RSR,,2b,+26s,"0:53:06,124","+ 1:28,068",22,,22,,,,,,,,
,37,,PrimeapeX21,Racing Team Coyote,BMW M6 Sprint '16,,2b,,"0:53:06,161","+ 1:28,105",21,,21,,,,,,,,
,38,,Badger--04,No Facksen Racing,Porsche 911 RSR,,2b,,"0:53:07,515","+ 1:29,459",20,,20,,,,,,,,
,39,,PrA-doctorjones,Project Apex,Lamborghini '15,,2a,,"0:53:07,920","+ 1:29,864",19,,19,,,,,,,,
,40,,The_Melkavian,Singen Süd Racing,Mercedes AMG,,2b,,"0:53:11,982","+ 1:33,926",18,,18,,,,,,,,
,41,,LNX1613,International Racing Crew,Porsche 911 RSR,,2b,,"0:53:15,049","+ 1:36,993",17,,17,,,,,,,,
,42,,INS4NE-BR0-GR1M,Roadrunner Racing,Porsche 911 RSR,,2b,+41s,"0:53:21,225","+ 1:43,169",16,,16,,,,,,,,
,43,,Quitzowscaniav88,THE Roadrunners,Corvette C7,,1,,"0:53:22,489","+ 1:44,433",15,,15,,,,,,,,
,44,,Fynn-connor,Resistance Motorsport,Porsche 911 RSR,,3,,"0:53:22,983","+ 1:44,927",14,,14,,,,,,,,
,45,,SJB_1973,Roadrunner Racing,McLaren 650S,,2b,+41s,"0:53:25,912","+ 1:47,856",13,,13,,,,,,,,
,46,,daemiaen,Bear Racing,Porsche 911 RSR,,2b,,"0:53:26,786","+ 1:48,730",12,,12,,,,,,,,
,47,,ICZ_89,No Facksen Racing,Porsche 911 RSR,,2b,+23s,"0:53:31,947","+ 1:53,891",11,,11,,,,,,,,
,48,,RCR_Matze2218,Radical Racing,McLaren 650S,,2a,,"0:53:38,010","+ 1:59,954",10,,10,,,,,,,,
,49,,|--Hennes--|,Rhein-Rur-Motosport,BMW M6 Endurance '16,,3,+7s,"0:53:40,271","+ 2:02,215",9,,9,,,,,,,,
,50,,Lumpi-0707,Rhein-Rur-Motosport,Mazda RX,,3,,"0:53:44,990","+ 2:06,934",8,,8,,,,,,,,
,51,,Timfra,Digital Racing Cologne,Porsche 911 RSR,,3,,"0:53:46,091","+ 2:08,035",7,,7,,,,,,,,
