,,,,,,,,,,,,,,,,,,,,,
,52,,Ralf1893,Resistance Motorsport,Porsche 911 RSR,,3,+17s,"0:53:51,695","+ 2:13,639",6,,6,,,,,,,,
,53,,TheGreatBeamie,,Ford GT Race Car '18,,3,+26s,"0:54:02,014","+ 2:23,958",5,,5,,,,,,,,
,54,,morfeus3009,Resistance Motorsport,Audi R8 LMS Evo '19,,3,,"0:54:45,228","+ 3:07,172",4,,4,,,,,,,,
,55,,Highwaystar1980,International Racing Crew,Porsche 911 RSR,,2a,,"0:56:48,673","+ 5:10,617",3,,3,,,,,,,,
,56,,FGR_Topeca,Feelgood Racing,Porsche 911 RSR,,1,,"8:00:00,000",DNF,1,,1,,,,,,,,
,57,,L-O-N,Maibert MacLon Racing,Toyota GR Supra,,3,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,28,,Driver,,,Team-1,3,,4,,Σ 2
,,,Angry Antz Racing [1],Wernersen5519,48,Bamboobear,40,88,1,Angry Antz Racing,,,2,,,,,,,,
,,,Bear Racing [1],daemiaen,12,,,12s,2,Bear Racing,,,1,,,,,,,,
,,,de Shadaim Racing [1],J-de-Shadaim,43,,,43s,3,de Shadaim Racing,,,1,,,,,,,,
,,,Digital Racing Cologne [1],Timfra,7,,,7s,4,Digital Racing Cologne,,,1,,,,,,,,
,,,Feelgood Racing [1],FGR_Supergt,61,FGR_Topeca,1,62s,5,Feelgood Racing,,,2,,,,,,,,
,,,GTmen [1],mironight1,49,MacFracerEX,27,76s,6,GTmen,,,3,,,GTmen [2],TheLamb74,26,,,26
,,,Herrmann Motorsport [1],Bladde90,22,,,22s,7,Herrmann Motorsport,,,1,,,,,,,,
,,,International Racing Crew [1],Roozay_33,52,PMR_Swissracer66,34,86s,8,International Racing Crew,,,4,,,International Racing Crew [2],LNX1613,17,Highwaystar1980,3,20
,,,KotzBärTV [1],KBTV_Normbiz_GT,54,KBTV_Rocket,31,85s,9,KotzBärTV,,,2,,,,,,,,
,,,Maibert MacLon Racing [1],GORGI_meets_GT,46,Peter-zockt-1984,37,83s,10,Maibert MacLon Racing,,,4,,,Maibert MacLon Racing [2],GT-Hosss669,23,L-O-N,1,24
,,,No Facksen Racing [1],Badger--04,20,ICZ_89,11,31s,11,No Facksen Racing,,,2,,,,,,,,
,,,Noller Racing Team [1],NLR-Knudsen84,58,,,58s,12,Noller Racing Team,,,1,,,,,,,,
,,,Project Apex [1],PrA-doctorjones,19,,,19s,13,Project Apex,,,1,,,,,,,,
,,,Racing Team Coyote [1],jppganhao,50,RTC-Viper-,47,97s,14,Racing Team Coyote,,,5,,,Racing Team Coyote [2],UniqueNISMO,45,boky2006zg,36,81
,,,Radical Racing [1],RCR_Matze2218,10,,,10s,15,Radical Racing,,,1,,,,,,,,
,,,Resistance Motorsport [1],HM_derspieth,39,Animalius609,33,72s,16,Resistance Motorsport,,,5,,,Resistance Motorsport [2],Fynn-connor,14,Ralf1893,6,20
,,,Rhein-Rur-Motosport [1],RRM-Schumi,44,Erik_Ewetke,41,85s,17,Rhein-Rur-Motosport,,,5,,,Rhein-Rur-Motosport [2],oooBismarkooo,25,|--Hennes--|,9,34
,,,Roadrunner Racing [1],Kawa-Jo,53,HankCastelli,51,104s,18,Roadrunner Racing,,,4,,,Roadrunner Racing [2],INS4NE-BR0-GR1M,16,SJB_1973,13,29
,,,Singen Süd Racing [1],Over_1638,56,Schweikinho,38,94s,19,Singen Süd Racing,,,6,,,Singen Süd Racing [2],Uchiha14,35,c-maanreri,32,67
,,,THE Roadrunners [1],TRR-Zipfelfink,28,Quitzowscaniav88,15,43s,20,THE Roadrunners,,,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Q,V,W,,,,,,,,,,,,
