,,,,,,,,,,,,,,,,,,,,,
,9,,PrA-doctorjones,Project Apex,Peugeot RCZ,,1,,"0:51:56,171","+ 0:53,173",18,,18,,9,de Shadaim Racing [2],mr_osaka7,14,,,14
,10,,jppganhao,Racing Team Coyote,Porsche 911 RSR,,1,,"0:52:01,964","+ 0:58,966",17,,17,,10,Maibert MacLon Racing [2],L-O-N,9,Beni_149,4,13
,11,,Badger--04,No Facksen Racing,Dodge Viper,,2,,"0:52:11,555","+ 1:08,557",16,,16,,11,International Racing Crew [2],HM_derspieth,12,,,12
,12,,KBTV_Jenner,KotzBärTV,Porsche 911 RSR,,1,,"0:52:14,248","+ 1:11,250",15,,15,,12,Rhein-Rur-Motorsport [1],Lumpi-0707,6,Milo_GT881,3,9
,13,,mr_osaka7,de Shadaim Racing,Peugeot RCZ,,2,,"0:52:18,234","+ 1:15,236",14,,14,,13,Herrmann Motorsport [1],HM_Tobi,1,,,1
,14,,Peter-zockt-1984,Maibert MacLon Racing,Peugeot RCZ,,2,,"0:52:19,499","+ 1:16,501",13,,13,,,,,,,,
,15,,HM_derspieth,International Racing Crew,Porsche 911 RSR,,2,,"0:52:23,276","+ 1:20,278",12,,12,,,,,,,,
,16,,Gorgi_meets_GT,Maibert MacLon Racing,Peugeot RCZ,,1,,"0:52:34,289","+ 1:31,291",11,,11,,,,,,,,
,17,,Bladde90,,Peugeot RCZ,,2,,"0:52:35,040","+ 1:32,042",10,,10,,,,,,,,
,18,,L-O-N,Maibert MacLon Racing,Peugeot RCZ,,2,,"0:52:37,936","+ 1:34,938",9,,9,,,,,,,,
,19,,Der-Schumi-84,,Mercedes AMG GT3 '20,,2,,"0:52:47,216","+ 1:44,218",8,,8,,,,,,,,
,20,,armeddotter,,McLaren 650S,,2,,"0:53:01,884","+ 1:58,886",7,,7,,,,,,,,
,21,,Lumpi-0707,Rhein-Rur-Motorsport,Nissan GT-R '18,,2,,"0:53:03,491","+ 2:00,493",6,,6,,,,,,,,
,22,,TheGreatBeamie,,Nissan GT-R '18,,2,,"0:53:16,291","+ 2:13,293",5,,5,,,,,,,,
,23,,Beni_149,Maibert MacLon Racing,Mercedes AMG GT3 '20,,2,+80s,"0:54:29,874","+ 3:26,876",4,,4,,,,,,,,
,24,,Milo_GT881,Rhein-Rur-Motorsport,Porsche 911 RSR,,2,+30s,"0:54:29,932","+ 3:26,934",3,,3,,,,,,,,
,25,,LMP-KleCKs,,Nissan GT-R '18,,1,,"8:00:00,000",DNF,1,,1,,,,,,,,
,26,,HM_Tobi,Herrmann Motorsport,Mercedes AMG GT3 '20,,2,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,13,,Driver,,,Team-1,3,,4,,Σ 2
,,,de Shadaim Racing [1],J-de-Shadaim,21,MSWdjjc27,19,40,1,de Shadaim Racing,,,3,,,de Shadaim Racing [2],mr_osaka7,14,,,14
,,,Herrmann Motorsport [1],HM_Tobi,1,,,1s,2,Herrmann Motorsport,,,1,,,,,,,,
,,,International Racing Crew [1],Roozay_33,30,PMR_Swissracer66,22,52s,3,International Racing Crew,,,3,,,International Racing Crew [2],HM_derspieth,12,,,12
,,,KotzBärTV [1],KBTV_Normbiz_GT,25,KBTV_Rocket,20,45s,4,KotzBärTV,,,3,,,KotzBärTV [2],KBTV_Jenner,15,,,15
,,,Maibert MacLon Racing [1],Peter-zockt-1984,13,Gorgi_meets_GT,11,24s,5,Maibert MacLon Racing,,,4,,,Maibert MacLon Racing [2],L-O-N,9,Beni_149,4,13
,,,No Facksen Racing [1],Badger--04,16,,,16s,6,No Facksen Racing,,,1,,,,,,,,
,,,Project Apex [1],PrA-doctorjones,18,,,18s,7,Project Apex,,,1,,,,,,,,
,,,Racing Team Coyote [1],boky2006zg,27,jppganhao,17,44s,8,Racing Team Coyote,,,2,,,,,,,,
,,,Rhein-Rur-Motorsport [1],Lumpi-0707,6,Milo_GT881,3,9s,9,Rhein-Rur-Motorsport,,,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DD,DI,DJ,,,,,,,,,,,,
