,,,,,,,,,,,,,,,,,,,,,
,9.,,Race:,Suzuka Circuit,,,,,,,,,,,Teamwertung,,Suzuka Circuit,,,,
,26,, Drivers             Date:,04.12.2023,Fastest Lap:,"2:24,236",by,Roozay_33,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Roozay_33,,,,DD,DI,DJ,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,Roozay_33,International Racing Crew,Peugeot RCZ,,1,,"0:51:02,998",,¹ 26 ³,,30,,1,International Racing Crew [1],Roozay_33,30,PMR_Swissracer66,22,52
,2,,boky2006zg,Racing Team Coyote,Porsche 911 RSR,,1,,"0:51:33,376","+ 0:30,378",  25 ²,,27,,2,KotzBärTV [1],KBTV_Normbiz_GT,25,KBTV_Rocket,20,45
,3,,KBTV_Normbiz_GT,KotzBärTV,Porsche 911 RSR,,1,,"0:51:36,942","+ 0:33,944",  24 ¹,,25,,3,Racing Team Coyote [1],boky2006zg,27,jppganhao,17,44
,4,,D4NT3_BL4xX,,Peugeot RCZ,,1,,"0:51:43,181","+ 0:40,183",23,,23,,4,de Shadaim Racing [1],J-de-Shadaim,21,MSWdjjc27,19,40
,5,,PMR_Swissracer66,International Racing Crew,Peugeot RCZ,,2,,"0:51:43,807","+ 0:40,809",22,,22,,5,Maibert MacLon Racing [1],Peter-zockt-1984,13,Gorgi_meets_GT,11,24
,6,,J-de-Shadaim,de Shadaim Racing,Peugeot RCZ,,1,,"0:51:44,477","+ 0:41,479",21,,21,,6,Project Apex [1],PrA-doctorjones,18,,,18
,7,,KBTV_Rocket,KotzBärTV,Porsche 911 RSR,,1,,"0:51:45,385","+ 0:42,387",20,,20,,7,No Facksen Racing [1],Badger--04,16,,,16
,8,,MSWdjjc27,de Shadaim Racing,Peugeot RCZ,,1,,"0:51:49,473","+ 0:46,475",19,,19,,8,KotzBärTV [2],KBTV_Jenner,15,,,15
