,,,,,,,,,,,,,,,,,,,,,
,1.,,Race:,Tokyo Expressway East_CCW,,,,,,,,,,,Teamwertung,,Tokyo Expressway East_CCW,,,,
,51,, Drivers   /   Date:,08.05.2023,Fastest Lap:,"1:55,474",by,FGR_Supergt,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,FGR_Supergt,,,,D,I,J,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,FGR_Supergt,Feelgood Racing,Peugeot VGT,,3,,"0:51:26,429",,¹ 51 ³,,55,,1,International Racing Crew [1],Roozay_33,52,Hokiama,40,92
,2,,Roozay_33,International Racing Crew,Peugeot VGT,,1,,"0:51:50,284","+ 0:23,855",  50 ²,,52,,2,Racing Team Coyote [1],RTC-Viper-,46,jppganhao,45,91
,3,,Over_1638,Singen Süd Racing,Toyota GR Supra,,1,,"0:52:00,207","+ 0:33,778",  49 ¹,,50,,3,Singen Süd Racing [1],Over_1638,50,The_Melkavian,36,86
,4,,GORGI_meets_GT,Maibert MacLon Racing,Toyota GR Supra,,1,,"0:52:03,334","+ 0:36,905",48,,48,,4,Rhein-Rur-Motosport [1],Erik_Ewetke,44,RRM-Schumi,41,85
,5,,Animalius609,Resistance Motorsport,Toyota GR Supra,,2a,,"0:52:05,459","+ 0:39,030",47,,47,,5,KotzBärTV [1],KBTV_Normbiz_GT,43,KBTV_Rocket,38,81
,6,,RTC-Viper-,Racing Team Coyote,Peugeot VGT,,2a,,"0:52:05,961","+ 0:39,532",46,,46,,6,Maibert MacLon Racing [1],GORGI_meets_GT,48,Peter-zockt-1984,29,77
,7,,jppganhao,Racing Team Coyote,Toyota GR Supra,,2a,,"0:52:08,626","+ 0:42,197",45,,45,,7,Resistance Motorsport [1],Animalius609,47,Ralf1893,30,77
,8,,Erik_Ewetke,Rhein-Rur-Motosport,Toyota GR Supra,,2b,,"0:52:11,138","+ 0:44,709",44,,44,,8,Roadrunner Racing [1],HankCastelli,39,Kawa-Jo,37,76
,9,,KBTV_Normbiz_GT,KotzBärTV,Nissan GT-R '99,,1,,"0:52:11,288","+ 0:44,859",43,,43,,9,de Shadaim Racing [1],J-de-Shadaim,35,mr_osaka7,33,68
,10,,boky2006zg,Racing Team Coyote,Renault R.S.01,,2a,,"0:52:13,507","+ 0:47,078",42,,42,,10,GTmen [1],MacFracerEX,34,KillaZwerg,31,65
,11,,RRM-Schumi,Rhein-Rur-Motosport,Ford GT LM Test,,2b,,"0:52:16,277","+ 0:49,848",41,,41,,11,Feelgood Racing [1],FGR_Supergt,55,FGR_Topeca,1,56
,12,,Hokiama,International Racing Crew,Peugeot VGT,,1,,"0:52:21,679","+ 0:55,250",40,,40,,12,Roadrunner Racing [2],SJB_1973,26,INS4NE-BR0-GR1M,23,49
,13,,HankCastelli,Roadrunner Racing,Peugeot VGT,,2a,,"0:52:22,195","+ 0:55,766",39,,39,,13,Herrmann Motorsport [1],HM_Tobi,24,HM_derspieth,20,44
,14,,KBTV_Rocket,KotzBärTV,Peugeot VGT,,1,,"0:52:22,489","+ 0:56,060",38,,38,,14,Singen Süd Racing [2],c-maanreri,28,Schweikinho,16,44
