,,,,,,,,,,,,,,,,,,,,,
,11.,,Race:,Sardegna - B,,,,,,,,,,,Teamwertung,,Sardegna - B,,,,
,44,, Drivers             Date:,31.07.2023,Fastest Lap:,"1:18,054",by,MADze-_-,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,MADze-_-,,,,ED,EI,EJ,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,SWR-Semtex,Stiftung Wagentest Racing,McLaren 650S,,1,,"0:51:06,419",,  44 ³,,47,,1,Feelgood Racing [1],FGR_Topeca,41,FGR_Supergt,34,75
,2,,MADze-_-,No Facksen Racing,Nissan GT-R '18,,1,,"0:51:06,844","+ 0:00,425",¹ 43 ²,,46,,2,Roadrunner Racing [1],Kawa-Jo,39,HankCastelli,35,74
,3,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,1,,"0:51:25,140","+ 0:18,721",  42 ¹,,43,,3,de Shadaim Racing [1],J-de-Shadaim,43,mr_osaka7,27,70
,4,,FGR_Topeca,Feelgood Racing,Nissan GT-R '18,,1,,"0:51:26,472","+ 0:20,053",41,,41,,4,No Facksen Racing [1],MADze-_-,46,Badger--04,20,66
,5,,KBTV_funky,KotzBärTV,Nissan GT-R '18,,1,,"0:51:29,476","+ 0:23,057",40,,40,,5,Pandabrake Racing [1],TRL_TwoFace,38,Bjarne / flauschige_Panda,26,64
,6,,Kawa-Jo,Roadrunner Racing,Nissan GT-R '18,,1,,"0:51:31,809","+ 0:25,390",39,,39,,6,International Racing Crew [1],Roozay_33,32,LNX1613,31,63
,7,,TRL_TwoFace,Pandabrake Racing,Porsche 911 RSR,,1,,"0:51:32,728","+ 0:26,309",38,,38,,7,Maibert MacLon Racing [1],GORGI_meets_GT,37,Peter-zockt-1984,24,61
,8,,GORGI_meets_GT,Maibert MacLon Racing,McLaren 650S,,1,,"0:51:36,360","+ 0:29,941",37,,37,,8,Angry Antz Racing [1],Bamboobear,29,Wernersen5519,25,54
,9,,Over_1638,Singen Süd Racing,Nissan GT-R '18,,1,,"0:51:36,841","+ 0:30,422",36,,36,,9,KotzBärTV [1],KBTV_funky,40,KBTV_xpress,14,54
,10,,HankCastelli,Roadrunner Racing,Porsche 911 RSR,,2,,"0:51:37,285","+ 0:30,866",35,,35,,10,Singen Süd Racing [1],Over_1638,36,django-85-deluxe,18,54
,11,,FGR_Supergt,Feelgood Racing,McLaren 650S,,1,+16s,"0:51:41,141","+ 0:34,722",34,,34,,11,Stiftung Wagentest Racing [1],SWR-Semtex,47,,,47
,12,,KillaZwerg,GTmen,McLaren 650S,,2,,"0:51:43,470","+ 0:37,051",33,,33,,12,GTmen [1],KillaZwerg,33,TheLamb74,13,46
,13,,Roozay_33,International Racing Crew,Nissan GT-R '18,,1,,"0:51:46,655","+ 0:40,236",32,,32,,13,THE Roadrunners [1],Quitzowscaniav88,23,TRR-Zipfelfink,17,40
,14,,LNX1613,International Racing Crew,Porsche 911 RSR,,3,,"0:51:47,153","+ 0:40,734",31,,31,,14,Rhein-Rur-Motosport [1],RRM-Schumi,30,Lumpi-0707,9,39
,15,,RRM-Schumi,Rhein-Rur-Motosport,Mercedes AMG GT3 '20,,2,,"0:51:50,290","+ 0:43,871",30,,30,,15,International Racing Crew [2],PMR_Swissracer66,22,Highwaystar1980,16,38
,16,,Bamboobear,Angry Antz Racing,McLaren 650S,,3,,"0:52:04,712","+ 0:58,293",29,,29,,16,Roadrunner Racing [2],SJB_1973,28,,,28
,17,,SJB_1973,Roadrunner Racing,Nissan GT-R '18,,2,+12s,"0:52:06,245","+ 0:59,826",28,,28,,17,Singen Süd Racing [2],c-maanreri,15,Uchiha14,10,25
,18,,mr_osaka7,de Shadaim Racing,Nissan GT-R '18,,2,,"0:52:06,473","+ 1:00,054",27,,27,,18,Racing Team Coyote [1],RTC-Viper-,21,,,21
,19,,Bjarne / flauschige_Panda,Pandabrake Racing,Porsche 911 RSR,,1,,"0:52:07,201","+ 1:00,782",26,,26,,19,KotzBärTV [2],KBTV_Rocket,12,KBTV_Daniel,7,19
,20,,Wernersen5519,Angry Antz Racing,Porsche 911 RSR,,3,,"0:52:11,383","+ 1:04,964",25,,25,,20,Herrmann Motorsport [1],HM_Tobi,8,,,8
,21,,Peter-zockt-1984,Maibert MacLon Racing,Peugeot RCZ,,2,,"0:52:11,853","+ 1:05,434",24,,24,,21,Rhein-Rur-Motosport [2],oooBismarkooo,6,Erik_Ewetke,2,8
,22,,Quitzowscaniav88,THE Roadrunners,Porsche 911 RSR,,3,,"0:52:12,419","+ 1:06,000",23,,23,,22,Maibert MacLon Racing [2],Beni_149,5,,,5
,23,,PMR_Swissracer66,International Racing Crew,Peugeot RCZ,,2,,"0:52:14,198","+ 1:07,779",22,,22,,23,GTmen [2],mironight1,3,,,3
,24,,RTC-Viper-,Racing Team Coyote,McLaren 650S,,2,+49s,"0:52:20,023","+ 1:13,604",21,,21,,,,,,,,
,25,,Badger--04,No Facksen Racing,Porsche 911 RSR,,2,,"0:52:21,072","+ 1:14,653",20,,20,,,,,,,,
,26,,D4NT3_BL4xX,,Peugeot RCZ,,3,,"0:52:22,988","+ 1:16,569",19,,19,,,,,,,,
,27,,django-85-deluxe,Singen Süd Racing,Mercedes SLS,,2,,"0:52:24,000","+ 1:17,581",18,,18,,,,,,,,
,28,,TRR-Zipfelfink,THE Roadrunners,Porsche 911 RSR,,3,,"0:52:24,394","+ 1:17,975",17,,17,,,,,,,,
,29,,Highwaystar1980,International Racing Crew,Porsche 911 RSR,,3,,"0:52:26,529","+ 1:20,110",16,,16,,,,,,,,
,30,,c-maanreri,Singen Süd Racing,Honda NSX,,2,,"0:52:30,767","+ 1:24,348",15,,15,,,,,,,,
,31,,KBTV_xpress,KotzBärTV,McLaren 650S,,2,,"0:52:31,391","+ 1:24,972",14,,14,,,,,,,,
,32,,TheLamb74,GTmen,BMW M6 Endurance '16,,3,,"0:52:31,449","+ 1:25,030",13,,13,,,,,,,,
,33,,KBTV_Rocket,KotzBärTV,McLaren 650S,,2,+29s,"0:52:39,901","+ 1:33,482",12,,12,,,,,,,,
,34,,HM_derspieth,International Racing Crew,Porsche 911 RSR,,2,,"0:52:48,889","+ 1:42,470",11,,11,,,,,,,,
,35,,Uchiha14,Singen Süd Racing,Nissan GT-R '18,,3,,"0:52:54,815","+ 1:48,396",10,,10,,,,,,,,
,36,,Lumpi-0707,Rhein-Rur-Motosport,Toyota GR Supra,,3,,"0:52:55,280","+ 1:48,861",9,,9,,,,,,,,
,37,,HM_Tobi,Herrmann Motorsport,Porsche 911 RSR,,3,+25s,"0:52:55,936","+ 1:49,517",8,,8,,,,,,,,
,38,,KBTV_Daniel,KotzBärTV,Mercedes AMG,,1,,"0:53:09,165","+ 2:02,746",7,,7,,,,,,,,
,39,,oooBismarkooo,Rhein-Rur-Motosport,Nissan GT-R '18,,3,+21s,"0:53:10,775","+ 2:04,356",6,,6,,,,,,,,
