,,,,,,,,,,,,,,,,,,,,,
,12.,,Race:,Nürburgring Endurance,,,,,,,,,,,Teamwertung,,Nürburgring Endurance,,,,
,38,, Drivers             Date:,07.08.2023,Fastest Lap:,"7:44,157",by,FGR_Supergt,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,FGR_Supergt,,,,EQ,EV,EW,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,FGR_Supergt,Feelgood Racing,McLaren 650S,,1,,"0:55:40,327",,¹ 38 ³,,42,,1,GTmen [1],kanihali,39,KillaZwerg,33,72
,2,,kanihali,GTmen,Toyota GR Supra,,1,,"0:55:59,969","+ 0:19,642",  37 ²,,39,,2,International Racing Crew [1],Roozay_33,37,HM_derspieth,29,66
,3,,Roozay_33,International Racing Crew,Nissan GT-R '18,,1,,"0:56:04,949","+ 0:24,622",  36 ¹,,37,,3,Feelgood Racing [1],FGR_Supergt,42,FGR_Topeca,17,59
,4,,Animalius609,Resistance Motorsport,Genesis X,,1,,"0:56:06,560","+ 0:26,233",35,,35,,4,Maibert MacLon Racing [1],GORGI_meets_GT,31,Peter-zockt-1984,25,56
,5,,KBTV_Rocket,KotzBärTV,Nissan GT-R '18,,2,,"0:56:32,833","+ 0:52,506",34,,34,,5,Roadrunner Racing [1],Kawa-Jo,30,SJB_1973,24,54
,6,,KillaZwerg,GTmen,Porsche 911 RSR,,2,,"0:56:33,062","+ 0:52,735",33,,33,,6,KotzBärTV [1],KBTV_Rocket,34,KBTV_xpress,13,47
,7,,Over_1638,Singen Süd Racing,Nissan GT-R '18,,1,,"0:56:36,436","+ 0:56,109",32,,32,,7,Singen Süd Racing [1],Over_1638,32,ren-bvb09,14,46
,8,,GORGI_meets_GT,Maibert MacLon Racing,McLaren 650S,,1,,"0:56:38,142","+ 0:57,815",31,,31,,8,International Racing Crew [2],PMR_Swissracer66,28,Highwaystar1980,11,39
,9,,Kawa-Jo,Roadrunner Racing,Nissan GT-R '18,,1,,"0:56:38,542","+ 0:58,215",30,,30,,9,Rhein-Rur-Motosport [1],RRM-Schumi,27,|--Hennes--|,10,37
,10,,HM_derspieth,International Racing Crew,Genesis X,,2,,"0:56:45,558","+ 1:05,231",29,,29,,10,Resistance Motorsport [1],Animalius609,35,,,35
,11,,PMR_Swissracer66,International Racing Crew,Nissan GT-R '18,,1,,"0:56:52,328","+ 1:12,001",28,,28,,11,Racing Team Coyote [1],boky2006zg,20,RTC-Viper-,12,32
,12,,RRM-Schumi,Rhein-Rur-Motosport,Mercedes AMG GT3 '20,,1,,"0:56:52,564","+ 1:12,237",27,,27,,12,GTmen [2],mironight1,22,TheLamb74,6,28
,13,,PrA-doctorjones,Project Apex,Porsche 911 RSR,,2,,"0:56:54,040","+ 1:13,713",26,,26,,13,Project Apex [1],PrA-doctorjones,26,,,26
,14,,Peter-zockt-1984,Maibert MacLon Racing,Toyota GR Supra,,2,,"0:57:01,317","+ 1:20,990",25,,25,,14,Roadrunner Racing [2],HankCastelli,16,INS4NE-BR0-GR1M,9,25
,15,,SJB_1973,Roadrunner Racing,Nissan GT-R '18,,1,,"0:57:04,857","+ 1:24,530",24,,24,,15,Herrmann Motorsport [1],HM_Tobi,23,,,23
,16,,HM_Tobi,Herrmann Motorsport,Mercedes AMG GT3 '20,,3,,"0:57:07,893","+ 1:27,566",23,,23,,16,Angry Antz Racing [1],Wernersen5519,21,,,21
,17,,mironight1,GTmen,McLaren 650S,,2,,"0:57:14,244","+ 1:33,917",22,,22,,17,THE Roadrunners [1],Quitzowscaniav88,19,,,19
,18,,Wernersen5519,Angry Antz Racing,Nissan GT-R '18,,2,,"0:57:18,453","+ 1:38,126",21,,21,,18,de Shadaim Racing [1],J-de-Shadaim,18,,,18
,19,,boky2006zg,Racing Team Coyote,Nissan GT-R '18,,1,,"0:57:23,436","+ 1:43,109",20,,20,,19,Rhein-Rur-Motosport [2],oooBismarkooo,8,Lumpi-0707,4,12
,20,,Quitzowscaniav88,THE Roadrunners,Porsche 911 RSR,,3,,"0:57:24,981","+ 1:44,654",19,,19,,20,Maibert MacLon Racing [2],Beni_149,3,GT-Hosss669,2,5
,21,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,1,,"0:57:32,007","+ 1:51,680",18,,18,,21,Singen Süd Racing [2],Uchiha14,5,,,5
,22,,FGR_Topeca,Feelgood Racing,Corvette C7,,1,+8s,"0:57:37,278","+ 1:56,951",17,,17,,,,,,,,
