,,,,,,,,,,,,,,,,,,,,,
,9,,Kawa-Jo,Roadrunner Racing,Nissan GT-R '18,,1,,"0:51:29,940","+ 0:39,757",34,,34,,9,Maibert MacLon Racing [1],GORGI_meets_GT,35,L-O-N,13,48
,10,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,1,,"0:51:34,288","+ 0:44,105",33,,33,,10,Rhein-Rur-Motosport [1],Erik_Ewetke,36,|--Hennes--|,11,47
,11,,SJB_1973,Roadrunner Racing,McLaren 650S,,2,,"0:51:35,073","+ 0:44,890",32,,32,,11,Feelgood Racing [1],FGR_Supergt,46,,,46
,12,,PrA-doctorjones,Project Apex,Porsche 911 RSR,,2,,"0:51:37,997","+ 0:47,814",31,,31,,12,Singen Süd Racing [2],c-maanreri,18,Schweikinho,17,35
,13,,HankCastelli,Roadrunner Racing,Toyota GR Supra,,1,,"0:51:44,041","+ 0:53,858",30,,30,,13,Project Apex [1],PrA-doctorjones,31,,,31
,14,,mironight1,GTmen,Toyota GR Supra,,1,,"0:51:46,075","+ 0:55,892",29,,29,,14,Roadrunner Racing [2],HankCastelli,30,,,30
,15,,Highwaystar1980,International Racing Crew,Nissan GT-R '18,,3,,"0:51:47,066","+ 0:56,883",28,,28,,15,Angry Antz Racing [1],Wernersen5519,19,Bamboobear,3,22
,16,,LNX1613,International Racing Crew,Toyota GR Supra,,3,,"0:51:47,374","+ 0:57,191",27,,27,,16,GTmen [2],MacFracerEX,12,TheLamb74,6,18
,17,,KBTV_Normbiz_GT,KotzBärTV,Toyota GR Supra,,1,,"0:51:47,879","+ 0:57,696",26,,26,,17,Rhein-Rur-Motosport [2],Lumpi-0707,10,oooBismarkooo,8,18
,18,,KBTV_xpress,KotzBärTV,Toyota GR Supra,,2,+14s,"0:51:51,147","+ 1:00,964",25,,25,,18,Digital Racing Cologne [1],Timfra,15,,,15
,19,,armeddotter,,Nissan GT-R '18,,2,,"0:51:53,716","+ 1:03,533",24,,24,,19,Bear Racing [1],daemiaen,14,,,14
,20,,HM_derspieth,International Racing Crew,Toyota GR Supra,,2,,"0:51:54,766","+ 1:04,583",23,,23,,20,Maibert MacLon Racing [2],Peter-zockt-1984,9,Beni_149,2,11
,21,,crysu69,GTmen,Toyota GR Supra,,1,,"0:51:55,672","+ 1:05,489",22,,22,,21,THE Roadrunners [1],Quitzowscaniav88,7,,,7
,22,,mr_osaka7,de Shadaim Racing,Nissan GT-R '18,,2,,"0:51:55,704","+ 1:05,521",21,,21,,22,Fun Racing League [1],Dr-Prof-BamBam,4,,,4
,23,,Uchiha14,Singen Süd Racing,Nissan GT-R '18,,3,,"0:51:56,109","+ 1:05,926",20,,20,,,,,,,,
,24,,Wernersen5519,Angry Antz Racing,Toyota GR Supra,,2,,"0:51:56,622","+ 1:06,439",19,,19,,,,,,,,
,25,,c-maanreri,Singen Süd Racing,Toyota GR Supra,,2,,"0:51:56,978","+ 1:06,795",18,,18,,,,,,,,
,26,,Schweikinho,Singen Süd Racing,Toyota GR Supra,,1,,"0:51:59,907","+ 1:09,724",17,,17,,,,,,,,
,27,,ren-bvb09,Singen Süd Racing,Nissan GT-R '18,,3,,"0:52:03,339","+ 1:13,156",16,,16,,,,,,,,
,28,,Timfra,Digital Racing Cologne,Porsche 911 RSR,,3,,"0:52:06,671","+ 1:16,488",15,,15,,,,,,,,
,29,,daemiaen,Bear Racing,Toyota GR Supra,,3,,"0:52:08,024","+ 1:17,841",14,,14,,,,,,,,
,30,,L-O-N,Maibert MacLon Racing,Toyota GR Supra,,3,,"0:52:17,579","+ 1:27,396",13,,13,,,,,,,,
,31,,MacFracerEX,GTmen,Porsche 911 RSR,,2,,"0:52:18,980","+ 1:28,797",12,,12,,,,,,,,
,32,,|--Hennes--|,Rhein-Rur-Motosport,BMW M6 Endurance '16,,3,,"0:52:19,005","+ 1:28,822",11,,11,,,,,,,,
,33,,Lumpi-0707,Rhein-Rur-Motosport,Nissan GT-R '18,,3,,"0:52:20,686","+ 1:30,503",10,,10,,,,,,,,
,34,,Peter-zockt-1984,Maibert MacLon Racing,Toyota GR Supra,,2,,"0:52:40,936","+ 1:50,753",9,,9,,,,,,,,
,35,,oooBismarkooo,Rhein-Rur-Motosport,Toyota GR Supra,,3,,"0:52:50,716","+ 2:00,533",8,,8,,,,,,,,
,36,,Quitzowscaniav88,THE Roadrunners,Nissan GT-R '99,,3,,"0:52:51,885","+ 2:01,702",7,,7,,,,,,,,
,37,,TheLamb74,GTmen,BMW M6 Endurance '16,,3,+10s,"0:52:57,623","+ 2:07,440",6,,6,,,,,,,,
,38,,RRM-Schumi,Rhein-Rur-Motosport,Toyota GR Supra,,1,,"0:53:06,314","+ 2:16,131",5,,5,,,,,,,,
,39,,Dr-Prof-BamBam,Fun Racing League,Porsche 911 RSR,,2,+73s,"0:53:10,810","+ 2:20,627",4,,4,,,,,,,,
,40,,Bamboobear,Angry Antz Racing,Ferrari 458,,2,+41s,"0:53:21,745","+ 2:31,562",3,,3,,,,,,,,
,41,,Beni_149,Maibert MacLon Racing,Audi R8 LMS Evo '19,,3,+7s,"0:54:07,892","+ 3:17,709",2,,2,,,,,,,,
,42,,D4NT3_BL4xX,,Nissan GT-R '18,,2,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,22,,Driver,,,Team-1,3,,4,,Σ 2
,,,Angry Antz Racing [1],Wernersen5519,19,Bamboobear,3,22,1,Angry Antz Racing,,,2,,,,,,,,
,,,Bear Racing [1],daemiaen,14,,,14s,2,Bear Racing,,,1,,,,,,,,
,,,de Shadaim Racing [1],J-de-Shadaim,33,mr_osaka7,21,54s,3,de Shadaim Racing,,,2,,,,,,,,
,,,Digital Racing Cologne [1],Timfra,15,,,15s,4,Digital Racing Cologne,,,1,,,,,,,,
,,,Feelgood Racing [1],FGR_Supergt,46,,,46s,5,Feelgood Racing,,,1,,,,,,,,
,,,Fun Racing League [1],Dr-Prof-BamBam,4,,,4s,6,Fun Racing League,,,1,,,,,,,,
,,,GTmen [1],mironight1,29,crysu69,22,51s,7,GTmen,,,4,,,GTmen [2],MacFracerEX,12,TheLamb74,6,18
,,,International Racing Crew [1],Roozay_33,43,PMR_Swissracer66,37,80s,8,International Racing Crew,,,5,,,International Racing Crew [2],Highwaystar1980,28,LNX1613,27,55
,,,KotzBärTV [1],KBTV_funky,39,KBTV_Rocket,38,77s,9,KotzBärTV,,,4,,,KotzBärTV [2],KBTV_Normbiz_GT,26,KBTV_xpress,25,51
,,,Maibert MacLon Racing [1],GORGI_meets_GT,35,L-O-N,13,48s,10,Maibert MacLon Racing,,,4,,,Maibert MacLon Racing [2],Peter-zockt-1984,9,Beni_149,2,11
,,,Project Apex [1],PrA-doctorjones,31,,,31s,11,Project Apex,,,1,,,,,,,,
,,,Rhein-Rur-Motosport [1],Erik_Ewetke,36,|--Hennes--|,11,47s,12,Rhein-Rur-Motosport,,,5,,,Rhein-Rur-Motosport [2],Lumpi-0707,10,oooBismarkooo,8,18
,,,Roadrunner Racing [1],Kawa-Jo,34,SJB_1973,32,66s,13,Roadrunner Racing,,,3,,,Roadrunner Racing [2],HankCastelli,30,,,30
,,,Singen Süd Racing [1],Over_1638,41,Uchiha14,20,61s,14,Singen Süd Racing,,,5,,,Singen Süd Racing [2],c-maanreri,18,Schweikinho,17,35
,,,THE Roadrunners [1],Quitzowscaniav88,7,,,7s,15,THE Roadrunners,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CQ,CV,CW,,,,,,,,,,,,
