,,,,,,,,,,,,,,,,,,,,,
,8.,,Race:,Spa-Francorchamps,,,,,,,,,,,Teamwertung,,Spa-Francorchamps,,,,
,42,, Drivers             Date:,03.07.2023,Fastest Lap:,"2:15,861",by,FGR_Supergt,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,FGR_Supergt,,,,CQ,CV,CW,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,FGR_Supergt,Feelgood Racing,Nissan GT-R '18,,1,,"0:50:50,183",,¹ 42 ³,,46,,1,International Racing Crew [1],Roozay_33,43,PMR_Swissracer66,37,80
,2,,Roozay_33,International Racing Crew,Nissan GT-R '18,,1,,"0:51:13,498","+ 0:23,315",  41 ²,,43,,2,KotzBärTV [1],KBTV_funky,39,KBTV_Rocket,38,77
,3,,Over_1638,Singen Süd Racing,Toyota GR Supra,,1,,"0:51:16,146","+ 0:25,963",  40 ¹,,41,,3,Roadrunner Racing [1],Kawa-Jo,34,SJB_1973,32,66
,4,,KBTV_funky,KotzBärTV,Toyota GR Supra,,1,,"0:51:18,011","+ 0:27,828",39,,39,,4,Singen Süd Racing [1],Over_1638,41,Uchiha14,20,61
,5,,KBTV_Rocket,KotzBärTV,Toyota GR Supra,,2,,"0:51:19,708","+ 0:29,525",38,,38,,5,International Racing Crew [2],Highwaystar1980,28,LNX1613,27,55
,6,,PMR_Swissracer66,International Racing Crew,Peugeot RCZ,,2,,"0:51:23,775","+ 0:33,592",37,,37,,6,de Shadaim Racing [1],J-de-Shadaim,33,mr_osaka7,21,54
,7,,Erik_Ewetke,Rhein-Rur-Motosport,Toyota GR Supra,,1,,"0:51:24,623","+ 0:34,440",36,,36,,7,GTmen [1],mironight1,29,crysu69,22,51
,8,,GORGI_meets_GT,Maibert MacLon Racing,Toyota GR Supra,,1,,"0:51:25,506","+ 0:35,323",35,,35,,8,KotzBärTV [2],KBTV_Normbiz_GT,26,KBTV_xpress,25,51
