,,,,,,,,,,,,,,,,,,,,,
,10.,,Race:,Sainte-Croix - B,,,,,,,,,,,Teamwertung,,Sainte-Croix - B,,,,
,44,, Drivers             Date:,24.07.2023,Fastest Lap:,"2:06,873",by,guardianbravo,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,guardianbravo,,,,DQ,DV,DW,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,guardianbravo,THE Roadrunners,Nissan GT-R '18,,1,,"0:51:55,461",,¹ 44 ³,,48,,1,International Racing Crew [1],Roozay_33,45,HM_derspieth,40,85
,2,,Roozay_33,International Racing Crew,Nissan GT-R '18,,1,,"0:52:07,000","+ 0:11,539",  43 ²,,45,,2,THE Roadrunners [1],guardianbravo,48,TRR-Zipfelfink,19,67
,3,,SWR-Semtex,Stiftung Wagentest Racing,Nissan GT-R '18,,1,,"0:52:16,900","+ 0:21,439",  42 ¹,,43,,3,Roadrunner Racing [1],SJB_1973,38,Kawa-Jo,28,66
,4,,TRL_TwoFace,Pandabrake Racing,Nissan GT-R '18,,1,,"0:52:20,041","+ 0:24,580",41,,41,,4,International Racing Crew [2],PMR_Swissracer66,34,LNX1613,32,66
,5,,HM_derspieth,International Racing Crew,Nissan GT-R '18,,2,,"0:52:30,313","+ 0:34,852",40,,40,,5,Singen Süd Racing [1],Over_1638,35,django-85-deluxe,27,62
,6,,FGR_Topeca,Feelgood Racing,Toyota GR Supra,,1,,"0:52:32,119","+ 0:36,658",39,,39,,6,KotzBärTV [1],KBTV_Rocket,31,KBTV_Normbiz_GT,24,55
,7,,SJB_1973,Roadrunner Racing,Nissan GT-R '18,,2,,"0:52:33,254","+ 0:37,793",38,,38,,7,Maibert MacLon Racing [1],Peter-zockt-1984,29,GORGI_meets_GT,26,55
,8,,boky2006zg,Racing Team Coyote,Nissan GT-R '18,,2,,"0:52:34,210","+ 0:38,749",37,,37,,8,Pandabrake Racing [1],TRL_TwoFace,41,99er_Skyline,14,55
,9,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,1,,"0:52:34,273","+ 0:38,812",36,,36,,9,Racing Team Coyote [1],boky2006zg,37,RTC-Viper-,17,54
,10,,Over_1638,Singen Süd Racing,Nissan GT-R '18,,1,,"0:52:34,523","+ 0:39,062",35,,35,,10,GTmen [1],crysu69,30,KillaZwerg,20,50
,11,,PMR_Swissracer66,International Racing Crew,Nissan GT-R '18,,2,,"0:52:38,331","+ 0:42,870",34,,34,,11,Rhein-Rur-Motosport [1],RRM-Schumi,33,oooBismarkooo,16,49
,12,,RRM-Schumi,Rhein-Rur-Motosport,Mazda RX,,2,,"0:52:39,589","+ 0:44,128",33,,33,,12,Singen Süd Racing [2],c-maanreri,25,Uchiha14,21,46
,13,,LNX1613,International Racing Crew,Mercedes AMG GT3 '20,,3,,"0:52:40,610","+ 0:45,149",32,,32,,13,Stiftung Wagentest Racing [1],SWR-Semtex,43,,,43
,14,,KBTV_Rocket,KotzBärTV,Toyota GR Supra,,2,,"0:52:41,549","+ 0:46,088",31,,31,,14,Feelgood Racing [1],FGR_Topeca,39,,,39
,15,,crysu69,GTmen,Genesis X,,1,,"0:52:42,370","+ 0:46,909",30,,30,,15,de Shadaim Racing [1],J-de-Shadaim,36,,,36
