,,,,,,,,,,,,,,,,,,,,,
,3.,,Race:,Alsace - Village,,,,,,,,,,,Teamwertung,,Alsace - Village,,,,
,35,, Drivers             Date:,16.10.2023,Fastest Lap:,"1:49,902",by,KBTV_funky,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,KBTV_funky,,,,AD,AI,AJ,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,MADze-_-,No Facksen Racing,Nissan GT-R '18,,1,,"0:50:44,528",,  35 ³,,38,,1,Stiftung Wagentest Racing [1],SWR-OSilver,34,SWR-Semtex,31,65
,2,,Roozay_33,International Racing Crew,Genesis X,,1,,"0:50:53,149","+ 0:08,621",  34 ²,,36,,2,International Racing Crew [1],Roozay_33,36,PMR_Swissracer66,28,64
,3,,SWR-OSilver,Stiftung Wagentest Racing,Mazda RX,,2,,"0:50:54,682","+ 0:10,154",  33 ¹,,34,,3,KotzBärTV [1],KBTV_funky,31,KBTV_Jenner,26,57
,4,,Gorgi_meets_GT,Maibert MacLon Racing,McLaren 650S,,1,,"0:51:05,207","+ 0:20,679",32,,32,,4,Feelgood Racing [1],FGR_M-Rabak,29,FGR_Topeca,23,52
,5,,SWR-Semtex,Stiftung Wagentest Racing,Mazda RX,,1,,"0:51:07,091","+ 0:22,563",31,,31,,5,Maibert MacLon Racing [1],Gorgi_meets_GT,32,Peter-zockt-1984,20,52
,6,,KBTV_funky,KotzBärTV,BMW M6 Endurance '16,,1,,"0:51:07,540","+ 0:23,012",¹ 30 ,,31,,6,No Facksen Racing [1],MADze-_-,38,Badger--04,13,51
,7,,FGR_M-Rabak,Feelgood Racing,Mazda RX,,1,,"0:51:11,867","+ 0:27,339",29,,29,,7,KotzBärTV [2],KBTV_Normbiz_GT,22,KBTV_Rocket,21,43
,8,,PMR_Swissracer66,International Racing Crew,Nissan GT-R '18,,2,,"0:51:14,619","+ 0:30,091",28,,28,,8,de Shadaim Racing [1],J-de-Shadaim,27,mr_osaka7,9,36
,9,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,1,,"0:51:16,422","+ 0:31,894",27,,27,,9,Racing Team Coyote [1],boky2006zg,19,PrimeApeX21,14,33
,10,,KBTV_Jenner,KotzBärTV,Porsche 911 RSR,,1,,"0:51:16,691","+ 0:32,163",26,,26,,10,Rhein-Rur-Motorsport [1],oooBismarkooo,25,|--Hennes--|,8,33
,11,,oooBismarkooo,Rhein-Rur-Motorsport,McLaren 650S,,3,,"0:51:20,471","+ 0:35,943",25,,25,,11,International Racing Crew [2],HM_derspieth,24,IRC_Puppe,1,25
