,,,,,,,,,,,,,,,,,,,,,
,26,,jppganhao,Racing Team Coyote,Porsche 911 RSR,,2a,,"0:51:41,217","+ 1:17,311",20,,20,,,,,,,,
,27,,Bladde90,Herrmann Motorsport,Porsche 911 RSR,,2b,,"0:51:43,177","+ 1:19,271",19,,19,,,,,,,,
,28,,Highwaystar1980,International Racing Crew,Porsche 911 RSR,,3,,"0:51:44,005","+ 1:20,099",18,,18,,,,,,,,
,29,,mr_osaka7,de Shadaim Racing,Porsche 911 RSR,,2a,,"0:51:49,542","+ 1:25,636",17,,17,,,,,,,,
,30,,PrimeapeX21,Racing Team Coyote,BMW M6 Sprint '16,,3,,"0:51:51,689","+ 1:27,783",16,,16,,,,,,,,
,31,,Uchiha14,Singen Süd Racing,Nissan GT-R '18,,2b,,"0:51:58,396","+ 1:34,490",15,,15,,,,,,,,
,32,,FGR_Topeca,Feelgood Racing,Porsche 911 RSR,,1,,"0:52:00,684","+ 1:36,778",14,,14,,,,,,,,
,33,,oooBismarkooo,Rhein-Rur-Motosport,Porsche 911 RSR,,3,,"0:52:09,047","+ 1:45,141",13,,13,,,,,,,,
,34,,Quitzowscaniav88,THE Roadrunners,Porsche 911 RSR,,2b,,"0:52:09,678","+ 1:45,772",12,,12,,,,,,,,
,35,,daemiaen,Bear Racing,Porsche 911 RSR,,3,,"0:52:15,239","+ 1:51,333",11,,11,,,,,,,,
,36,,Badger--04,No Facksen Racing,Peugeot RCZ,,2b,,"0:52:21,231","+ 1:57,325",10,,10,,,,,,,,
,37,,D4NT3_BL4xX,,Ford Mustang,,2a,,"0:52:31,707","+ 2:07,801",9,,9,,,,,,,,
,38,,Lumpi-0707,Rhein-Rur-Motosport,Mercedes AMG GT3 '20,,3,,"0:52:51,108","+ 2:27,202",8,,8,,,,,,,,
,39,,Timfra,Digital Racing Cologne,Mercedes AMG GT3 '20,,3,,"0:53:10,896","+ 2:46,990",7,,7,,,,,,,,
,40,,benbenSTM,,Hyundai Genesis,,1,,"0:53:18,164","+ 2:54,258",6,,6,,,,,,,,
,41,,L-O-N,Maibert MacLon Racing,Audi R8 LMS Evo '19,,3,,"0:53:29,765","+ 3:05,859",5,,5,,,,,,,,
,42,,Sixkilla66,Bear Racing,Mitsubishi Lancer,,3,,"0:54:16,779","+ 3:52,873",4,,4,,,,,,,,
,43,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,2a,,"8:00:00,000",DNF,1,,1,,,,,,,,
,44,,TheLamb74,GTmen,Porsche 911 RSR,,2b,,"8:00:00,000",DNF,1,,1,,,,,,,,
,45,,HM_Tobi,Herrmann Motorsport,Porsche 911 RSR,,3,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,24,,Driver,,,Team-1,3,,4,,Σ 2
,,,Bear Racing [1],daemiaen,11,Sixkilla66,4,15,1,Bear Racing,,,2,,,,,,,,
,,,de Shadaim Racing [1],MSWdjjc27,32,mr_osaka7,17,49s,2,de Shadaim Racing,,,3,,,de Shadaim Racing [2],J-de-Shadaim,1,,,1
,,,Digital Racing Cologne [1],Timfra,7,,,7s,3,Digital Racing Cologne,,,1,,,,,,,,
,,,Feelgood Racing [1],FGR_Supergt,49,FGR_Topeca,14,63s,4,Feelgood Racing,,,2,,,,,,,,
,,,Fun Racing League [1],Dr-Prof-BamBam,25,,,25s,5,Fun Racing League,,,1,,,,,,,,
,,,GTmen [1],mironight1,34,TheLamb74,1,35s,6,GTmen,,,2,,,,,,,,
,,,Herrmann Motorsport [1],Bladde90,19,HM_Tobi,1,20s,7,Herrmann Motorsport,,,2,,,,,,,,
,,,International Racing Crew [1],Roozay_33,44,PMR_Swissracer66,37,81s,8,International Racing Crew,,,4,,,International Racing Crew [2],HM_derspieth,28,Highwaystar1980,18,46
,,,KotzBärTV [1],KBTV_Normbiz_GT,40,KBTV_funky,39,79s,9,KotzBärTV,,,3,,,KotzBärTV [2],KBTV_Rocket,24,,,24
,,,Maibert MacLon Racing [1],GORGI_meets_GT,35,Peter-zockt-1984,33,68s,10,Maibert MacLon Racing,,,3,,,Maibert MacLon Racing [2],L-O-N,5,,,5
,,,No Facksen Racing [1],Badger--04,10,,,10s,11,No Facksen Racing,,,1,,,,,,,,
,,,Project Apex [1],PrA-Riethelm91,42,PrA-doctorjones,31,73s,12,Project Apex,,,2,,,,,,,,
,,,Racing Team Coyote [1],jppganhao,20,PrimeapeX21,16,36s,13,Racing Team Coyote,,,2,,,,,,,,
,,,Rhein-Rur-Motosport [1],RRM-Schumi,36,Erik_Ewetke,27,63s,14,Rhein-Rur-Motosport,,,4,,,Rhein-Rur-Motosport [2],oooBismarkooo,13,Lumpi-0707,8,21
,,,Roadrunner Racing [1],Kawa-Jo,41,SJB_1973,21,62s,15,Roadrunner Racing,,,2,,,,,,,,
,,,Singen Süd Racing [1],Schweikinho,38,ren-bvb09,30,68s,16,Singen Süd Racing,,,5,,,Singen Süd Racing [2],Over_1638,26,c-maanreri,23,49
,,,Stiftung Wagentest Racing [1],SWR-Semtex,46,,,46s,17,Stiftung Wagentest Racing,,,1,,,,,,,,
,,,THE Roadrunners [1],Quitzowscaniav88,12,,,12s,18,THE Roadrunners,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BQ,BV,BW,,,,,,,,,,,,
