,,,,,,,,,,,,,,,,,,,,,
,6.,,Race:,Nürburgring GP/F,,,,,,,,,,,Teamwertung,,Nürburgring GP/F,,,,
,45,, Drivers             Date:,19.06.2023,Fastest Lap:,"1:53,784",by,FGR_Supergt,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,FGR_Supergt,,,,BQ,BV,BW,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,FGR_Supergt,Feelgood Racing,Porsche 911 RSR,,1,,"0:50:23,906",,¹ 45 ³,,49,,1,International Racing Crew [1],Roozay_33,44,PMR_Swissracer66,37,81
,2,,SWR-Semtex,Stiftung Wagentest Racing,Peugeot RCZ,,1,,"0:50:39,729","+ 0:15,823",  44 ²,,46,,2,KotzBärTV [1],KBTV_Normbiz_GT,40,KBTV_funky,39,79
,3,,Roozay_33,International Racing Crew,Nissan GT-R '18,,1,,"0:50:49,878","+ 0:25,972",  43 ¹,,44,,3,Project Apex [1],PrA-Riethelm91,42,PrA-doctorjones,31,73
,4,,PrA-Riethelm91,Project Apex,Porsche 911 RSR,,1,,"0:50:49,947","+ 0:26,041",42,,42,,4,Maibert MacLon Racing [1],GORGI_meets_GT,35,Peter-zockt-1984,33,68
,5,,Kawa-Jo,Roadrunner Racing,Nissan GT-R '18,,1,,"0:51:03,856","+ 0:39,950",41,,41,,5,Singen Süd Racing [1],Schweikinho,38,ren-bvb09,30,68
,6,,KBTV_Normbiz_GT,KotzBärTV,Peugeot RCZ,,1,,"0:51:04,386","+ 0:40,480",40,,40,,6,Feelgood Racing [1],FGR_Supergt,49,FGR_Topeca,14,63
,7,,KBTV_funky,KotzBärTV,Peugeot RCZ,,1,,"0:51:06,831","+ 0:42,925",39,,39,,7,Rhein-Rur-Motosport [1],RRM-Schumi,36,Erik_Ewetke,27,63
,8,,Schweikinho,Singen Süd Racing,Porsche 911 RSR,,2b,,"0:51:10,712","+ 0:46,806",38,,38,,8,Roadrunner Racing [1],Kawa-Jo,41,SJB_1973,21,62
,9,,PMR_Swissracer66,International Racing Crew,Mercedes AMG GT3 '20,,2a,,"0:51:15,070","+ 0:51,164",37,,37,,9,de Shadaim Racing [1],MSWdjjc27,32,mr_osaka7,17,49
,10,,RRM-Schumi,Rhein-Rur-Motosport,Mercedes AMG GT3 '20,,2a,,"0:51:17,429","+ 0:53,523",36,,36,,10,Singen Süd Racing [2],Over_1638,26,c-maanreri,23,49
,11,,GORGI_meets_GT,Maibert MacLon Racing,Peugeot RCZ,,1,,"0:51:19,066","+ 0:55,160",35,,35,,11,Stiftung Wagentest Racing [1],SWR-Semtex,46,,,46
,12,,mironight1,GTmen,Porsche 911 RSR,,1,,"0:51:20,189","+ 0:56,283",34,,34,,12,International Racing Crew [2],HM_derspieth,28,Highwaystar1980,18,46
,13,,Peter-zockt-1984,Maibert MacLon Racing,Peugeot RCZ,,2a,,"0:51:21,183","+ 0:57,277",33,,33,,13,Racing Team Coyote [1],jppganhao,20,PrimeapeX21,16,36
,14,,MSWdjjc27,de Shadaim Racing,Mercedes AMG GT3 '20,,1,,"0:51:22,866","+ 0:58,960",32,,32,,14,GTmen [1],mironight1,34,TheLamb74,1,35
,15,,PrA-doctorjones,Project Apex,Porsche 911 RSR,,2b,,"0:51:24,786","+ 1:00,880",31,,31,,15,Fun Racing League [1],Dr-Prof-BamBam,25,,,25
,16,,ren-bvb09,Singen Süd Racing,Nissan GT-R '18,,3,,"0:51:25,898","+ 1:01,992",30,,30,,16,KotzBärTV [2],KBTV_Rocket,24,,,24
,17,,armeddotter,,Lamborghini '15,,2b,,"0:51:27,684","+ 1:03,778",29,,29,,17,Rhein-Rur-Motosport [2],oooBismarkooo,13,Lumpi-0707,8,21
,18,,HM_derspieth,International Racing Crew,Porsche 911 RSR,,2b,,"0:51:28,442","+ 1:04,536",28,,28,,18,Herrmann Motorsport [1],Bladde90,19,HM_Tobi,1,20
,19,,Erik_Ewetke,Rhein-Rur-Motosport,Porsche 911 RSR,,2a,,"0:51:30,672","+ 1:06,766",27,,27,,19,Bear Racing [1],daemiaen,11,Sixkilla66,4,15
,20,,Over_1638,Singen Süd Racing,Porsche 911 RSR,,1,,"0:51:35,862","+ 1:11,956",26,,26,,20,THE Roadrunners [1],Quitzowscaniav88,12,,,12
,21,,Dr-Prof-BamBam,Fun Racing League,Porsche 911 RSR,,2a,,"0:51:36,594","+ 1:12,688",25,,25,,21,No Facksen Racing [1],Badger--04,10,,,10
,22,,KBTV_Rocket,KotzBärTV,Peugeot RCZ,,2a,,"0:51:37,992","+ 1:14,086",24,,24,,22,Digital Racing Cologne [1],Timfra,7,,,7
,23,,c-maanreri,Singen Süd Racing,Honda NSX,,2a,,"0:51:38,896","+ 1:14,990",23,,23,,23,Maibert MacLon Racing [2],L-O-N,5,,,5
,24,,LMP-KleCKs,,Lexus RC F,,2b,,"0:51:39,427","+ 1:15,521",22,,22,,24,de Shadaim Racing [2],J-de-Shadaim,1,,,1
,25,,SJB_1973,Roadrunner Racing,Audi R8 LMS Evo '19,,2b,,"0:51:39,527","+ 1:15,621",21,,21,,,,,,,,
