,,,,,,,,,,,,,,,,,,,,,
,2.,,Race:,Deep Forest Raceway -REVERSE,,,,,,,,,,,Teamwertung,,Deep Forest Raceway -REVERSE,,,,
,35,, Drivers             Date:,09.10.2023,Fastest Lap:,"1:25,426",by,FGR_M-Rabak,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,FGR_M-Rabak,,,,Q,V,W,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,Roozay_33,International Racing Crew,Genesis X,,1,,"0:51:06,044",,  35 ³,,38,,1,International Racing Crew [1],Roozay_33,38,PMR_Swissracer66,28,66
,2,,FGR_M-Rabak,Feelgood Racing,Toyota GR Supra,,1,,"0:51:10,336","+ 0:04,292",¹ 34 ²,,37,,2,KotzBärTV [1],KBTV_Rocket,31,KBTV_Jenner,29,60
,3,,PrA-doctorjones,Project Apex,Nissan GT-R '18,,2,,"0:51:12,000","+ 0:05,956",  33 ¹,,34,,3,Feelgood Racing [1],FGR_M-Rabak,37,FGR_Topeca,22,59
,4,,Kawa-Jo,Roadrunner Racing,Nissan GT-R '18,,1,,"0:51:14,963","+ 0:08,919",32,,32,,4,Roadrunner Racing [1],Kawa-Jo,32,SJB_1973,27,59
,5,,KBTV_Rocket,KotzBärTV,McLaren 650S,,1,,"0:51:23,445","+ 0:17,401",31,,31,,5,No Facksen Racing [1],MADze-_-,30,Badger--04,18,48
,6,,MADze-_-,No Facksen Racing,Nissan GT-R '18,,1,,"0:51:23,654","+ 0:17,610",30,,30,,6,Racing Team Coyote [1],jppganhao,26,boky2006zg,21,47
,7,,KBTV_Jenner,KotzBärTV,Nissan GT-R '18,,2,,"0:51:28,310","+ 0:22,266",29,,29,,7,de Shadaim Racing [1],J-de-Shadaim,24,mr_osaka7,14,38
,8,,PMR_Swissracer66,International Racing Crew,Peugeot RCZ,,2,,"0:51:31,048","+ 0:25,004",28,,28,,8,Maibert MacLon Racing [1],Peter-zockt-1984,19,Gorgi_meets_GT,16,35
,9,,SJB_1973,Roadrunner Racing,McLaren 650S,,2,,"0:51:32,267","+ 0:26,223",27,,27,,9,Project Apex [1],PrA-doctorjones,34,,,34
,10,,jppganhao,Racing Team Coyote,Nissan GT-R '18,,1,,"0:51:33,335","+ 0:27,291",26,,26,,10,International Racing Crew [2],IRC_Puppe,23,HM_derspieth,9,32
,11,,HM_Tobi,Herrmann Motorsport,BMW M6 Endurance '16,,3,,"0:51:33,747","+ 0:27,703",25,,25,,11,Roadrunner Racing [2],INS4NE-BR0-GR1M,15,HankCastelli,11,26
,12,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,1,,"0:51:34,401","+ 0:28,357",24,,24,,12,Herrmann Motorsport [1],HM_Tobi,25,,,25
,13,,IRC_Puppe,International Racing Crew,Peugeot RCZ,,2,,"0:51:36,375","+ 0:30,331",23,,23,,13,Rhein-Rur-Motorsport [1],oooBismarkooo,13,|--Hennes--|,8,21
