,,,,,,,,,,,,,,,,,,,,,
,14,,FGR_Topeca,Feelgood Racing,Toyota GR Supra,,1,+2s,"0:51:43,017","+ 0:36,973",22,,22,,14,THE Roadrunners [1],TRR-Zipfelfink,12,,,12
,15,,boky2006zg,Racing Team Coyote,Nissan GT-R '18,,1,,"0:51:43,387","+ 0:37,343",21,,21,,15,KotzBärTV [2],KBTV_xpress,10,,,10
,16,,armeddotter,,Porsche 911 RSR,,2,,"0:51:44,427","+ 0:38,383",20,,20,,16,Racing Team Coyote [2],PrimeApeX21,7,,,7
,17,,Peter-zockt-1984,Maibert MacLon Racing,Peugeot RCZ,,2,,"0:51:44,692","+ 0:38,648",19,,19,,17,Digital Racing Cologne [1],Timfra,6,,,6
,18,,Badger--04,No Facksen Racing,Dodge Viper,,3,,"0:51:47,835","+ 0:41,791",18,,18,,18,Maibert MacLon Racing [2],Beni_149,4,L-O-N,2,6
,19,,D4NT3_BL4xX,,Peugeot RCZ,,3,,"0:51:52,851","+ 0:46,807",17,,17,,19,Rhein-Rur-Motorsport [2],Lumpi-0707,5,,,5
,20,,Gorgi_meets_GT,Maibert MacLon Racing,McLaren 650S,,1,+30s,"0:51:53,558","+ 0:47,514",16,,16,,20,Stiftung Wagentest Racing [1],SWR-Semtex,3,,,3
,21,,INS4NE-BR0-GR1M,Roadrunner Racing,Mercedes AMG GT3 '20,,3,,"0:51:57,860","+ 0:51,816",15,,15,,21,Pandabrake Racing [1],flauschige_Panda,1,,,1
,22,,mr_osaka7,de Shadaim Racing,Mazda RX,,2,,"0:52:02,691","+ 0:56,647",14,,14,,,,,,,,
,23,,oooBismarkooo,Rhein-Rur-Motorsport,McLaren 650S,,3,+30s,"0:52:02,803","+ 0:56,759",13,,13,,,,,,,,
,24,,TRR-Zipfelfink,THE Roadrunners,Porsche 911 RSR,,2,,"0:52:03,874","+ 0:57,830",12,,12,,,,,,,,
,25,,HankCastelli,Roadrunner Racing,Toyota GR Supra,,2,+4s,"0:52:04,079","+ 0:58,035",11,,11,,,,,,,,
,26,,KBTV_xpress,KotzBärTV,McLaren 650S,,3,,"0:52:07,234","+ 1:01,190",10,,10,,,,,,,,
,27,,HM_derspieth,International Racing Crew,Porsche 911 RSR,,2,,"0:52:12,235","+ 1:06,191",9,,9,,,,,,,,
,28,,|--Hennes--|,Rhein-Rur-Motorsport,BMW M6 Endurance '16,,3,,"0:52:22,510","+ 1:16,466",8,,8,,,,,,,,
,29,,PrimeApeX21,Racing Team Coyote,BMW M6 Sprint '16,,3,,"0:52:26,008","+ 1:19,964",7,,7,,,,,,,,
,30,,Timfra,Digital Racing Cologne,Mercedes AMG GT3 '20,,3,+30s,"0:52:39,218","+ 1:33,174",6,,6,,,,,,,,
,31,,Lumpi-0707,Rhein-Rur-Motorsport,Toyota GR Supra,,3,,"0:52:47,559","+ 1:41,515",5,,5,,,,,,,,
,32,,Beni_149,Maibert MacLon Racing,McLaren 650S,,3,,"0:52:50,495","+ 1:44,451",4,,4,,,,,,,,
,33,,SWR-Semtex,Stiftung Wagentest Racing,Toyota GR Supra,,1,+72s,"0:52:51,050","+ 1:45,006",3,,3,,,,,,,,
,34,,L-O-N,Maibert MacLon Racing,Subaru BRZ GT300 '21,,3,,"0:52:54,670","+ 1:48,626",2,,2,,,,,,,,
,35,,flauschige_Panda,Pandabrake Racing,Toyota GR Supra,,2,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,21,,Driver,,,Team-1,3,,4,,Σ 2
,,,de Shadaim Racing [1],J-de-Shadaim,24,mr_osaka7,14,38,1,de Shadaim Racing,,,2,,,,,,,,
,,,Digital Racing Cologne [1],Timfra,6,,,6s,2,Digital Racing Cologne,,,1,,,,,,,,
,,,Feelgood Racing [1],FGR_M-Rabak,37,FGR_Topeca,22,59s,3,Feelgood Racing,,,2,,,,,,,,
,,,Herrmann Motorsport [1],HM_Tobi,25,,,25s,4,Herrmann Motorsport,,,1,,,,,,,,
,,,International Racing Crew [1],Roozay_33,38,PMR_Swissracer66,28,66s,5,International Racing Crew,,,4,,,International Racing Crew [2],IRC_Puppe,23,HM_derspieth,9,32
,,,KotzBärTV [1],KBTV_Rocket,31,KBTV_Jenner,29,60s,6,KotzBärTV,,,3,,,KotzBärTV [2],KBTV_xpress,10,,,10
,,,Maibert MacLon Racing [1],Peter-zockt-1984,19,Gorgi_meets_GT,16,35s,7,Maibert MacLon Racing,,,4,,,Maibert MacLon Racing [2],Beni_149,4,L-O-N,2,6
,,,No Facksen Racing [1],MADze-_-,30,Badger--04,18,48s,8,No Facksen Racing,,,2,,,,,,,,
,,,Pandabrake Racing [1],flauschige_Panda,1,,,1s,9,Pandabrake Racing,,,1,,,,,,,,
,,,Project Apex [1],PrA-doctorjones,34,,,34s,10,Project Apex,,,1,,,,,,,,
,,,Racing Team Coyote [1],jppganhao,26,boky2006zg,21,47s,11,Racing Team Coyote,,,3,,,Racing Team Coyote [2],PrimeApeX21,7,,,7
,,,Rhein-Rur-Motorsport [1],oooBismarkooo,13,|--Hennes--|,8,21s,12,Rhein-Rur-Motorsport,,,3,,,Rhein-Rur-Motorsport [2],Lumpi-0707,5,,,5
,,,Roadrunner Racing [1],Kawa-Jo,32,SJB_1973,27,59s,13,Roadrunner Racing,,,4,,,Roadrunner Racing [2],INS4NE-BR0-GR1M,15,HankCastelli,11,26
,,,Stiftung Wagentest Racing [1],SWR-Semtex,3,,,3s,14,Stiftung Wagentest Racing,,,1,,,,,,,,
,,,THE Roadrunners [1],TRR-Zipfelfink,12,,,12s,15,THE Roadrunners,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Q,V,W,,,,,,,,,,,,
