,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,22,,Driver,,,Team-1,3,,4,,Σ 2
,,,de Shadaim Racing [1],mr_osaka7,23,MSWdjjc27,19,42,1,de Shadaim Racing,,,3,,,de Shadaim Racing [2],J-de-Shadaim,15,,,15
,,,Feelgood Racing [1],FGR_Supergt,37,,,37s,2,Feelgood Racing,,,1,,,,,,,,
,,,Fun Racing League [1],Dr-Prof-BamBam,26,,,26s,3,Fun Racing League,,,1,,,,,,,,
,,,GTmen [1],MacFracerEX,40,mironight1,31,71s,4,GTmen,,,4,,,GTmen [2],crysu69,24,TheLamb74,10,34
,,,Herrmann Motorsport [1],Bladde90,18,HM_Tobi,8,26s,5,Herrmann Motorsport,,,2,,,,,,,,
,,,International Racing Crew [1],Roozay_33,44,PMR_Swissracer66,25,69s,6,International Racing Crew,,,5,,,International Racing Crew [2],HM_derspieth,21,Highwaystar1980,16,37
,,,KotzBärTV [1],KBTV_funky,42,KBTV_Rocket,35,77s,7,KotzBärTV,,,4,,,KotzBärTV [2],KBTV_xpress,33,KBTV_Normbiz_GT,32,65
,,,Maibert MacLon Racing [1],GORGI_meets_GT,37,Peter-zockt-1984,17,54s,8,Maibert MacLon Racing,,,5,,,Maibert MacLon Racing [2],GT-Hosss669,9,Beni_149,5,14
,,,Project Apex [1],PrA-doctorjones,27,,,27s,9,Project Apex,,,1,,,,,,,,
,,,Racing Team Coyote [1],PrimeapeX21,14,,,14s,10,Racing Team Coyote,,,1,,,,,,,,
,,,Rhein-Rur-Motosport [1],Erik_Ewetke,20,oooBismarkooo,13,33s,11,Rhein-Rur-Motosport,,,3,,,Rhein-Rur-Motosport [2],Lumpi-0707,1,,,1
,,,Roadrunner Racing [1],Kawa-Jo,30,HankCastelli,28,58s,12,Roadrunner Racing,,,3,,,Roadrunner Racing [2],SJB_1973,12,,,12
,,,Singen Süd Racing [1],Over_1638,38,Schweikinho,34,72s,13,Singen Süd Racing,,,5,,,Singen Süd Racing [2],c-maanreri,29,ren-bvb09,22,51
,,,THE Roadrunners [1],Quitzowscaniav88,1,,,1s,14,THE Roadrunners,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CD,CI,CJ,,,,,,,,,,,,
