,,,,,,,,,,,,,,,,,,,,,
,4.,,Race:,Trial Mountain,,,,,,,,,,,Teamwertung,,Trial Mountain,,,,
,47,, Drivers             Date:,05.06.2023,Fastest Lap:,"1:49,391",by,Over_1638,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Over_1638,,,,AQ,AV,AW,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,Over_1638,Singen Süd Racing,Toyota GR Supra,,1,,"0:50:25,052",,¹ 47 ³,,51,,1,Singen Süd Racing [1],Over_1638,51,Schweikinho,40,91
,2,,SWR-Semtex,Stiftung Wagentest Racing,McLaren 650S,,1,,"0:50:36,466","+ 0:11,414",  46 ²,,48,,2,GTmen [1],kanihali,46,crysu69,35,81
,3,,kanihali,GTmen,VW BEETLE,,1,,"0:50:38,777","+ 0:13,725",  45 ¹,,46,,3,KotzBärTV [1],KBTV_Normbiz_GT,41,KBTV_Rocket,34,75
,4,,Roozay_33,International Racing Crew,Nissan GT-R '18,,1,,"0:50:39,313","+ 0:14,261",44,,44,,4,Racing Team Coyote [1],RTC-Viper-,42,boky2006zg,33,75
,5,,J-de-Shadaim,de Shadaim Racing,Mercedes AMG GT3 '20,,2a,,"0:50:52,603","+ 0:27,551",43,,43,,5,Roadrunner Racing [1],HankCastelli,39,Kawa-Jo,36,75
,6,,RTC-Viper-,Racing Team Coyote,BMW Z4,,2a,,"0:50:52,930","+ 0:27,878",42,,42,,6,International Racing Crew [1],Roozay_33,44,Highwaystar1980,25,69
,7,,KBTV_Normbiz_GT,KotzBärTV,Mercedes AMG GT3 '20,,1,,"0:50:53,179","+ 0:28,127",41,,41,,7,de Shadaim Racing [1],J-de-Shadaim,43,mr_osaka7,18,61
,8,,Schweikinho,Singen Süd Racing,Toyota GR Supra,,3,,"0:50:59,834","+ 0:34,782",40,,40,,8,Maibert MacLon Racing [1],GORGI_meets_GT,30,Peter-zockt-1984,22,52
,9,,HankCastelli,Roadrunner Racing,Porsche 911 RSR,,1,,"0:51:00,160","+ 0:35,108",39,,39,,9,Singen Süd Racing [2],c-maanreri,38,Uchiha14,14,52
,10,,c-maanreri,Singen Süd Racing,McLaren 650S,,2b,,"0:51:00,635","+ 0:35,583",38,,38,,10,Stiftung Wagentest Racing [1],SWR-Semtex,48,,,48
,11,,FGR_Topeca,Feelgood Racing,Porsche 911 RSR,,1,,"0:51:03,228","+ 0:38,176",37,,37,,11,Angry Antz Racing [1],Bamboobear,26,Wernersen5519,15,41
,12,,Kawa-Jo,Roadrunner Racing,Nissan GT-R '18,,1,,"0:51:04,584","+ 0:39,532",36,,36,,12,Racing Team Coyote [2],jppganhao,29,PrimeapeX21,9,38
,13,,crysu69,GTmen,VW BEETLE,,2a,,"0:51:05,027","+ 0:39,975",35,,35,,13,Feelgood Racing [1],FGR_Topeca,37,,,37
,14,,KBTV_Rocket,KotzBärTV,Mercedes AMG GT3 '20,,2b,,"0:51:07,466","+ 0:42,414",34,,34,,14,Rhein-Rur-Motosport [1],RRM-Schumi,31,Lumpi-0707,6,37
,15,,boky2006zg,Racing Team Coyote,Mercedes AMG GT3 '20,,2a,,"0:51:09,711","+ 0:44,659",33,,33,,15,Project Apex [1],PrA-doctorjones,32,,,32
,16,,PrA-doctorjones,Project Apex,Porsche 911 RSR,,2b,,"0:51:11,625","+ 0:46,573",32,,32,,16,GTmen [2],MacFracerEX,17,TheLamb74,12,29
,17,,RRM-Schumi,Rhein-Rur-Motosport,Mercedes AMG GT3 '20,,2a,,"0:51:14,123","+ 0:49,071",31,,31,,17,Fun Racing League [1],Dr-Prof-BamBam,28,,,28
,18,,GORGI_meets_GT,Maibert MacLon Racing,BMW M6 Endurance '16,,1,,"0:51:16,181","+ 0:51,129",30,,30,,18,Herrmann Motorsport [1],HM_Tobi,13,Bladde90,11,24
,19,,jppganhao,Racing Team Coyote,BMW M6 Endurance '16,,1,,"0:51:16,880","+ 0:51,828",29,,29,,19,Roadrunner Racing [2],SJB_1973,24,,,24
,20,,Dr-Prof-BamBam,Fun Racing League,Porsche 911 RSR,,2b,,"0:51:24,189","+ 0:59,137",28,,28,,20,International Racing Crew [2],PMR_Swissracer66,23,,,23
,21,,D4NT3_BL4xX,,Ford Mustang,,2a,,"0:51:27,943","+ 1:02,891",27,,27,,21,Resistance Motorsport [1],HM_derspieth,20,,,20
,22,,Bamboobear,Angry Antz Racing,Porsche 911 RSR,,2b,,"0:51:28,691","+ 1:03,639",26,,26,,22,Bear Racing [1],daemiaen,16,Sixkilla66,3,19
,23,,Highwaystar1980,International Racing Crew,Porsche 911 RSR,,3,,"0:51:29,318","+ 1:04,266",25,,25,,23,No Facksen Racing [1],Badger--04,19,,,19
,24,,SJB_1973,Roadrunner Racing,McLaren 650S,,2b,,"0:51:34,997","+ 1:09,945",24,,24,,24,Digital Racing Cologne [1],Timfra,10,,,10
