,,,,,,,,,,,,,,,,,,,,,
,8.,,Race:,Fuji International Speedway,,,,,,,,,,,Teamwertung,,Fuji International Speedway,,,,
,29,, Drivers             Date:,27.11.2023,Fastest Lap:,"1:38,091",by,FGR_M-Rabak,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,FGR_M-Rabak,,,,CQ,CV,CW,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,FGR_M-Rabak,Feelgood Racing,Mazda RX,,1,,"0:50:06,401",,¹ 29 ³,,33,,1,KotzBärTV [1],KBTV_Normbiz_GT,30,KBTV_Rocket,25,55
,2,,KBTV_Normbiz_GT,KotzBärTV,Mazda RX,,1,,"0:50:07,564","+ 0:01,163",  28 ²,,30,,2,de Shadaim Racing [1],J-de-Shadaim,28,mr_osaka7,15,43
,3,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,1,,"0:50:12,246","+ 0:05,845",  27 ¹,,28,,3,KotzBärTV [2],KBTV_Jenner,22,KBTV_xpress,17,39
,4,,Roozay_33,International Racing Crew,Peugeot RCZ,,1,,"0:50:18,077","+ 0:11,676",26,,26,,4,Feelgood Racing [1],FGR_M-Rabak,33,FGR_Topeca,3,36
,5,,KBTV_Rocket,KotzBärTV,Mazda RX,,1,,"0:50:28,236","+ 0:21,835",25,,25,,5,International Racing Crew [1],Roozay_33,26,HM_derspieth,7,33
,6,,D4NT3_BL4xX,,Peugeot RCZ,,1,,"0:50:28,300","+ 0:21,899",24,,24,,6,Racing Team Coyote [1],jppganhao,18,boky2006zg,9,27
,7,,PrA-doctorjones,Project Apex,McLaren 650S,,1,,"0:50:36,846","+ 0:30,445",23,,23,,7,Maibert MacLon Racing [1],Gorgi_meets_GT,14,L-O-N,11,25
,8,,KBTV_Jenner,KotzBärTV,Toyota GR Supra,,1,,"0:50:37,947","+ 0:31,546",22,,22,,8,Project Apex [1],PrA-doctorjones,23,,,23
,9,,Bladde90,,Porsche 911 RSR,,2,,"0:50:38,016","+ 0:31,615",21,,21,,9,Rhein-Rur-Motorsport [1],oooBismarkooo,13,Lumpi-0707,10,23
,10,,armeddotter,,McLaren 650S,,2,,"0:50:41,419","+ 0:35,018",20,,20,,10,Herrmann Motorsport [1],HM_Tobi,19,,,19
,11,,HM_Tobi,Herrmann Motorsport,McLaren 650S,,2,,"0:50:42,479","+ 0:36,078",19,,19,,11,Digital Racing Cologne [1],Timfra,12,,,12
,12,,jppganhao,Racing Team Coyote,Porsche 911 RSR,,1,,"0:50:44,316","+ 0:37,915",18,,18,,12,No Facksen Racing [1],Badger--04,8,,,8
,13,,KBTV_xpress,KotzBärTV,Porsche 911 RSR,,2,,"0:50:50,046","+ 0:43,645",17,,17,,13,Maibert MacLon Racing [2],GT-Hosss669,5,Beni_149,2,7
,14,,Der-Schumi-84,,Mercedes AMG GT3 '20,,2,,"0:50:51,204","+ 0:44,803",16,,16,,14,Rhein-Rur-Motorsport [2],Milo_GT881,4,,,4
,15,,mr_osaka7,de Shadaim Racing,Mazda RX,,2,,"0:50:52,143","+ 0:45,742",15,,15,,15,Racing Team Coyote [2],PrimeApeX21,1,,,1
,16,,Gorgi_meets_GT,Maibert MacLon Racing,Mazda RX,,1,,"0:50:55,794","+ 0:49,393",14,,14,,,,,,,,
,17,,oooBismarkooo,Rhein-Rur-Motorsport,McLaren 650S,,1,,"0:50:55,860","+ 0:49,459",13,,13,,,,,,,,
,18,,Timfra,Digital Racing Cologne,Mercedes AMG GT3 '20,,2,,"0:51:01,393","+ 0:54,992",12,,12,,,,,,,,
,19,,L-O-N,Maibert MacLon Racing,Peugeot RCZ,,2,,"0:51:01,398","+ 0:54,997",11,,11,,,,,,,,
,20,,Lumpi-0707,Rhein-Rur-Motorsport,Genesis X,,2,,"0:51:03,126","+ 0:56,725",10,,10,,,,,,,,
,21,,boky2006zg,Racing Team Coyote,Porsche 911 RSR,,1,,"0:51:05,664","+ 0:59,263",9,,9,,,,,,,,
,22,,Badger--04,No Facksen Racing,Porsche 911 RSR,,2,,"0:51:07,433","+ 1:01,032",8,,8,,,,,,,,
,23,,HM_derspieth,International Racing Crew,Porsche 911 RSR,,2,,"0:51:32,728","+ 1:26,327",7,,7,,,,,,,,
,24,,TheGreatBeamie,,Peugeot RCZ,,2,,"0:51:33,940","+ 1:27,539",6,,6,,,,,,,,
,25,,GT-Hosss669,Maibert MacLon Racing,McLaren 650S,,2,,"0:51:37,742","+ 1:31,341",5,,5,,,,,,,,
,26,,Milo_GT881,Rhein-Rur-Motorsport,Porsche 911 RSR,,2,+19s,"0:52:26,041","+ 2:19,640",4,,4,,,,,,,,
,27,,FGR_Topeca,Feelgood Racing,Porsche 911 RSR,,1,+100s,"0:52:38,469","+ 2:32,068",3,,3,,,,,,,,
,28,,Beni_149,Maibert MacLon Racing,Subaru BRZ GT300 '21,,2,,"0:52:45,861","+ 2:39,460",2,,2,,,,,,,,
,29,,PrimeApeX21,Racing Team Coyote,BMW M6 Sprint '16,,1,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
