,,,,,,,,,,,,,,,,,,,,,
,15,,armeddotter,,Porsche 911 RSR,,2,,"0:51:22,935","+ 0:36,414",18,,18,,,,,,,,
,16,,HM_Tobi,Herrmann Motorsport,Porsche 911 RSR,,2,,"0:51:23,956","+ 0:37,435",17,,17,,,,,,,,
,17,,KBTV_xpress,KotzBärTV,Porsche 911 RSR,,2,,"0:51:26,101","+ 0:39,580",16,,16,,,,,,,,
,18,,mr_osaka7,de Shadaim Racing,Porsche 911 RSR,,3,,"0:51:30,906","+ 0:44,385",15,,15,,,,,,,,
,19,,oooBismarkooo,Rhein-Rur-Motorsport,McLaren 650S,,2,,"0:51:33,778","+ 0:47,257",14,,14,,,,,,,,
,20,,Der-Schumi-84,,Mercedes AMG GT3 '20,,2,,"0:51:36,964","+ 0:50,443",13,,13,,,,,,,,
,21,,KBTV_funky,KotzBärTV,Porsche 911 RSR,,1,,"0:51:37,442","+ 0:50,921",12,,12,,,,,,,,
,22,,PMR_Swissracer66,International Racing Crew,Peugeot RCZ,,2,+15s,"0:51:39,286","+ 0:52,765",11,,11,,,,,,,,
,23,,L-O-N,Maibert MacLon Racing,Peugeot RCZ,,3,,"0:51:53,852","+ 1:07,331",10,,10,,,,,,,,
,24,,Uchiha14,Singen Süd Racing,Porsche 911 RSR,,3,,"0:52:05,450","+ 1:18,929",9,,9,,,,,,,,
,25,,kostjareloaded,,Toyota GR Supra,,2,,"0:52:10,632","+ 1:24,111",8,,8,,,,,,,,
,26,,Timfra,Digital Racing Cologne,Porsche 911 RSR,,3,,"0:52:17,264","+ 1:30,743",7,,7,,,,,,,,
,27,,TheGreatBeamie,,Peugeot RCZ,,3,+20s,"0:52:23,156","+ 1:36,635",6,,6,,,,,,,,
,28,,|--Hennes--|,Rhein-Rur-Motorsport,BMW M6 Endurance '16,,3,,"0:52:30,421","+ 1:43,900",5,,5,,,,,,,,
,29,,GT-Hosss669,Maibert MacLon Racing,McLaren 650S,,3,,"0:52:31,316","+ 1:44,795",4,,4,,,,,,,,
,30,,Milo_GT881,,Porsche 911 RSR,,3,,"0:52:31,449","+ 1:44,928",3,,3,,,,,,,,
,31,,C45P43R13,,VW BEETLE,,3,,"0:53:13,245","+ 2:26,724",2,,2,,,,,,,,
,32,,SaschaRS89,,Toyota GR Supra,,1,,"0:55:00,062","+ 4:13,541",1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,14,,Driver,,,Team-1,3,,4,,Σ 2
,,,de Shadaim Racing [1],MSWdjjc27,31,J-de-Shadaim,29,60,1,de Shadaim Racing,,,3,,,de Shadaim Racing [2],mr_osaka7,15,,,15
,,,Digital Racing Cologne [1],Timfra,7,,,7s,2,Digital Racing Cologne,,,1,,,,,,,,
,,,Herrmann Motorsport [1],HM_Tobi,17,,,17s,3,Herrmann Motorsport,,,1,,,,,,,,
,,,International Racing Crew [1],HM_derspieth,24,PMR_Swissracer66,11,35s,4,International Racing Crew,,,2,,,,,,,,
,,,KotzBärTV [1],KBTV_Jenner,26,KBTV_Normbiz_GT,25,51s,5,KotzBärTV,,,5,,,KotzBärTV [2],KBTV_Rocket,23,KBTV_xpress,16,39
,,,Maibert MacLon Racing [1],Gorgi_meets_GT,21,Peter-zockt-1984,19,40s,6,Maibert MacLon Racing,,,4,,,Maibert MacLon Racing [2],L-O-N,10,GT-Hosss669,4,14
,,,No Facksen Racing [1],MADze-_-,33,,,33s,7,No Facksen Racing,,,1,,,,,,,,
,,,Project Apex [1],PrA-doctorjones,28,,,28s,8,Project Apex,,,1,,,,,,,,
,,,Rhein-Rur-Motorsport [1],oooBismarkooo,14,|--Hennes--|,5,19s,9,Rhein-Rur-Motorsport,,,2,,,,,,,,
,,,Singen Süd Racing [1],Uchiha14,9,,,9s,10,Singen Süd Racing,,,1,,,,,,,,
,,,Stiftung Wagentest Racing [1],SWR-Semtex,36,,,36s,11,Stiftung Wagentest Racing,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ED,EI,EJ,,,,,,,,,,,,
