,,,,,,,,,,,,,,,,,,,,,
,11.,,Race:,Nürburgring GP/F,,,,,,,,,,,Teamwertung,,Nürburgring GP/F,,,,
,32,, Drivers             Date:,18.12.2023,Fastest Lap:,"1:54,880",by,SWR-Semtex,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,SWR-Semtex,,,,ED,EI,EJ,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,SWR-Semtex,Stiftung Wagentest Racing,Peugeot RCZ,,1,,"0:50:46,521",,¹ 32 ³,,36,,1,de Shadaim Racing [1],MSWdjjc27,31,J-de-Shadaim,29,60
,2,,MADze-_-,No Facksen Racing,Nissan GT-R '18,,1,,"0:50:47,562","+ 0:01,041",  31 ²,,33,,2,KotzBärTV [1],KBTV_Jenner,26,KBTV_Normbiz_GT,25,51
,3,,MSWdjjc27,de Shadaim Racing,Porsche 911 RSR,,2,,"0:50:58,854","+ 0:12,333",  30 ¹,,31,,3,Maibert MacLon Racing [1],Gorgi_meets_GT,21,Peter-zockt-1984,19,40
,4,,J-de-Shadaim,de Shadaim Racing,Porsche 911 RSR,,1,,"0:50:59,885","+ 0:13,364",29,,29,,4,KotzBärTV [2],KBTV_Rocket,23,KBTV_xpress,16,39
,5,,PrA-doctorjones,Project Apex,Porsche 911 RSR,,1,,"0:51:02,794","+ 0:16,273",28,,28,,5,Stiftung Wagentest Racing [1],SWR-Semtex,36,,,36
,6,,D4NT3_BL4xX,,Peugeot RCZ,,2,,"0:51:04,483","+ 0:17,962",27,,27,,6,International Racing Crew [1],HM_derspieth,24,PMR_Swissracer66,11,35
,7,,KBTV_Jenner,KotzBärTV,Peugeot RCZ,,1,,"0:51:07,896","+ 0:21,375",26,,26,,7,No Facksen Racing [1],MADze-_-,33,,,33
,8,,KBTV_Normbiz_GT,KotzBärTV,Porsche 911 RSR,,1,,"0:51:08,139","+ 0:21,618",25,,25,,8,Project Apex [1],PrA-doctorjones,28,,,28
,9,,HM_derspieth,International Racing Crew,Porsche 911 RSR,,2,,"0:51:09,127","+ 0:22,606",24,,24,,9,Rhein-Rur-Motorsport [1],oooBismarkooo,14,|--Hennes--|,5,19
,10,,KBTV_Rocket,KotzBärTV,Peugeot RCZ,,1,,"0:51:14,691","+ 0:28,170",23,,23,,10,Herrmann Motorsport [1],HM_Tobi,17,,,17
,11,,MDTagesschau,,McLaren 650S,,1,,"0:51:16,709","+ 0:30,188",22,,22,,11,de Shadaim Racing [2],mr_osaka7,15,,,15
,12,,Gorgi_meets_GT,Maibert MacLon Racing,Peugeot RCZ,,1,,"0:51:17,947","+ 0:31,426",21,,21,,12,Maibert MacLon Racing [2],L-O-N,10,GT-Hosss669,4,14
,13,,Bladde90,,Porsche 911 RSR,,2,,"0:51:21,223","+ 0:34,702",20,,20,,13,Singen Süd Racing [1],Uchiha14,9,,,9
,14,,Peter-zockt-1984,Maibert MacLon Racing,Peugeot RCZ,,3,,"0:51:22,036","+ 0:35,515",19,,19,,14,Digital Racing Cologne [1],Timfra,7,,,7
