,,,,,,,,,,,,,,,,,,,,,
,5.,,Race:,Barcelona - GP - no chicane,,,,,,,,,,,Teamwertung,,Barcelona - GP - no chicane,,,,
,30,, Drivers             Date:,30.10.2023,Fastest Lap:,"1:39,463",by,MADze-_-,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,MADze-_-,,,,BD,BI,BJ,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,MADze-_-,No Facksen Racing,Nissan GT-R '18,,1,,"0:51:27,523",,¹ 30 ³,,34,,1,Feelgood Racing [1],FGR_M-Rabak,29,FGR_Topeca,26,55
,2,,SWR-Semtex,Stiftung Wagentest Racing,Mazda RX,,1,,"0:51:32,776","+ 0:05,253",  29 ²,,31,,2,No Facksen Racing [1],MADze-_-,34,Badger--04,9,43
,3,,FGR_M-Rabak,Feelgood Racing,Mazda RX,,1,,"0:51:33,678","+ 0:06,155",  28 ¹,,29,,3,Rhein-Rur-Motorsport [1],oooBismarkooo,27,Lumpi-0707,13,40
,4,,oooBismarkooo,Rhein-Rur-Motorsport,McLaren 650S,,2,,"0:51:40,941","+ 0:13,418",27,,27,,4,International Racing Crew [1],Roozay_33,23,PMR_Swissracer66,14,37
,5,,FGR_Topeca,Feelgood Racing,Mazda RX,,1,,"0:51:44,679","+ 0:17,156",26,,26,,5,KotzBärTV [1],KBTV_Jenner,25,KBTV_Rocket,12,37
,6,,KBTV_Jenner,KotzBärTV,Mazda RX,,2,,"0:51:46,750","+ 0:19,227",25,,25,,6,Racing Team Coyote [1],boky2006zg,22,jppganhao,15,37
,7,,D4NT3_BL4xX,,Peugeot RCZ,,2,,"0:51:51,668","+ 0:24,145",24,,24,,7,Maibert MacLon Racing [1],Peter-zockt-1984,18,Gorgi_meets_GT,16,34
,8,,Roozay_33,International Racing Crew,Mazda RX,,1,,"0:51:52,873","+ 0:25,350",23,,23,,8,Stiftung Wagentest Racing [1],SWR-Semtex,31,,,31
,9,,boky2006zg,Racing Team Coyote,Renault R.S.01,,2,,"0:52:00,460","+ 0:32,937",22,,22,,9,Project Apex [1],PrA-doctorjones,21,,,21
,10,,PrA-doctorjones,Project Apex,Mercedes AMG GT3 '20,,2,,"0:52:01,962","+ 0:34,439",21,,21,,10,International Racing Crew [2],HM_derspieth,11,,,11
,11,,armeddotter,,McLaren 650S,,3,,"0:52:04,000","+ 0:36,477",20,,20,,11,Maibert MacLon Racing [2],L-O-N,6,Beni_149,5,11
,12,,LMP-KleCKs,,Porsche 911 RSR,,3,,"0:52:04,283","+ 0:36,760",19,,19,,12,de Shadaim Racing [1],mr_osaka7,7,J-de-Shadaim,1,8
,13,,Peter-zockt-1984,Maibert MacLon Racing,Peugeot RCZ,,2,,"0:52:04,661","+ 0:37,138",18,,18,,13,Herrmann Motorsport [1],HM_Tobi,8,,,8
,14,,Der-Schumi-84,,Mercedes AMG GT3 '20,,3,,"0:52:06,314","+ 0:38,791",17,,17,,14,Rhein-Rur-Motorsport [2],Milo_GT881,3,,,3
,15,,Gorgi_meets_GT,Maibert MacLon Racing,McLaren 650S,,1,,"0:52:06,490","+ 0:38,967",16,,16,,15,Resistance Motorsport [1],Fynn-connor,1,,,1
,16,,jppganhao,Racing Team Coyote,Renault R.S.01,,2,,"0:52:10,891","+ 0:43,368",15,,15,,,,,,,,
,17,,PMR_Swissracer66,International Racing Crew,Nissan GT-R '18,,1,,"0:52:14,628","+ 0:47,105",14,,14,,,,,,,,
,18,,Lumpi-0707,Rhein-Rur-Motorsport,Mazda RX,,3,,"0:52:16,883","+ 0:49,360",13,,13,,,,,,,,
,19,,KBTV_Rocket,KotzBärTV,Mazda RX,,1,,"0:52:17,543","+ 0:50,020",12,,12,,,,,,,,
,20,,HM_derspieth,International Racing Crew,Subaru BRZ GT300 '21,,2,,"0:52:18,839","+ 0:51,316",11,,11,,,,,,,,
,21,,Bladde90,,Porsche 911 RSR,,3,,"0:52:36,855","+ 1:09,332",10,,10,,,,,,,,
,22,,Badger--04,No Facksen Racing,Mercedes AMG GT3 '20,,2,,"0:52:37,941","+ 1:10,418",9,,9,,,,,,,,
,23,,HM_Tobi,Herrmann Motorsport,Porsche 911 RSR,,2,,"0:52:53,560","+ 1:26,037",8,,8,,,,,,,,
,24,,mr_osaka7,de Shadaim Racing,Mazda RX,,3,,"0:52:58,684","+ 1:31,161",7,,7,,,,,,,,
,25,,L-O-N,Maibert MacLon Racing,Peugeot RCZ,,3,+1s,"0:53:02,884","+ 1:35,361",6,,6,,,,,,,,
,26,,Beni_149,Maibert MacLon Racing,Audi R8 LMS Evo '19,,3,+15s,"0:53:38,349","+ 2:10,826",5,,5,,,,,,,,
,27,,TheGreatBeamie,,Subaru BRZ GT300 '21,,3,+30s,"0:53:50,532","+ 2:23,009",4,,4,,,,,,,,
,28,,Milo_GT881,Rhein-Rur-Motorsport,Ford Mustang,,1,,"0:54:17,312","+ 2:49,789",3,,3,,,,,,,,
,29,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,1,,"8:00:00,000",DNF,1,,1,,,,,,,,
,30,,Fynn-connor,Resistance Motorsport,Mercedes AMG GT3 '20,,3,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
