,,,,,,,,,,,,,,,,,,,,,
,10.,,Race:,Autódromo De Interlagos,,,,,,,,,,,Teamwertung,,Autódromo De Interlagos,,,,
,29,, Drivers             Date:,11.12.2023,Fastest Lap:,"1:29,922",by,melvynstr2004,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,melvynstr2004,,,,DQ,DV,DW,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,melvynstr2004,,Mazda RX,,1,,"0:50:39,302",,¹ 29 ³,,33,,1,KotzBärTV [1],KBTV_Normbiz_GT,25,KBTV_xpress,23,48
,2,,Roozay_33,International Racing Crew,Mazda RX,,1,,"0:51:08,304","+ 0:29,002",  28 ²,,30,,2,de Shadaim Racing [1],J-de-Shadaim,28,MSWdjjc27,18,46
,3,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,1,,"0:51:21,270","+ 0:41,968",  27 ¹,,28,,3,International Racing Crew [1],Roozay_33,30,HM_derspieth,15,45
,4,,Gorgi_meets_GT,Maibert MacLon Racing,Peugeot RCZ,,1,,"0:51:32,361","+ 0:53,059",26,,26,,4,Maibert MacLon Racing [1],Gorgi_meets_GT,26,L-O-N,9,35
,5,,KBTV_Normbiz_GT,KotzBärTV,Lexus RC F,,1,,"0:51:32,530","+ 0:53,228",25,,25,,5,KotzBärTV [2],KBTV_Rocket,17,KBTV_Jenner,13,30
,6,,Bladde90,,Porsche 911 RSR,,2,,"0:51:36,051","+ 0:56,749",24,,24,,6,Project Apex [1],PrA-doctorjones,22,,,22
,7,,KBTV_xpress,KotzBärTV,Mercedes AMG GT3 '20,,2,,"0:51:36,805","+ 0:57,503",23,,23,,7,Herrmann Motorsport [1],HM_Tobi,16,,,16
,8,,PrA-doctorjones,Project Apex,McLaren 650S,,1,,"0:51:36,896","+ 0:57,594",22,,22,,8,Rhein-Rur-Motorsport [1],oooBismarkooo,14,Lumpi-0707,1,15
,9,,armeddotter,,McLaren 650S,,2,,"0:51:45,310","+ 1:06,008",21,,21,,9,Maibert MacLon Racing [2],GT-Hosss669,8,Peter-zockt-1984,5,13
,10,,D4NT3_BL4xX,,Peugeot RCZ,,1,,"0:51:49,778","+ 1:10,476",20,,20,,10,International Racing Crew [2],PMR_Swissracer66,12,,,12
