,,,,,,,,,,,,,,,,,,,,,
,23,,FGR_M-Rabak,Feelgood Racing,Nissan GT-R '18,,1,+120s,"0:53:20,017","+ 1:58,581",¹ 6 ,,7,,,,,,,,
,24,,TheGreatBeamie,,Renault R.S.01,,2,+10s,"0:53:27,325","+ 2:05,889",5,,5,,,,,,,,
,25,,Milo_GT881,Rhein-Rur-Motorsport,Porsche 911 RSR,,2,,"0:53:43,859","+ 2:22,423",4,,4,,,,,,,,
,26,,|--Hennes--|,Rhein-Rur-Motorsport,BMW M3 '11,,2,,"0:54:03,829","+ 2:42,393",3,,3,,,,,,,,
,27,,C45P43R13,Rhein-Rur-Motorsport,VW BEETLE,,2,,"0:54:17,133","+ 2:55,697",2,,2,,,,,,,,
,28,,Bladde90,,Porsche 911 RSR,,2,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,14,,Driver,,,Team-1,3,,4,,Σ 2
,,,de Shadaim Racing [1],J-de-Shadaim,16,MSWdjjc27,15,31,1,de Shadaim Racing,,,2,,,,,,,,
,,,Digital Racing Cologne [1],Timfra,12,,,12s,2,Digital Racing Cologne,,,1,,,,,,,,
,,,Feelgood Racing [1],FGR_Topeca,31,FGR_M-Rabak,7,38s,3,Feelgood Racing,,,2,,,,,,,,
,,,Herrmann Motorsport [1],HM_Tobi,13,,,13s,4,Herrmann Motorsport,,,1,,,,,,,,
,,,International Racing Crew [1],Roozay_33,27,PMR_Swissracer66,9,36s,5,International Racing Crew,,,2,,,,,,,,
,,,KotzBärTV [1],KBTV_Normbiz_GT,29,KBTV_Jenner,25,54s,6,KotzBärTV,,,4,,,KotzBärTV [2],KBTV_Rocket,17,KBTV_xpress,10,27
,,,Maibert MacLon Racing [1],Gorgi_meets_GT,24,L-O-N,8,32s,7,Maibert MacLon Racing,,,2,,,,,,,,
,,,No Facksen Racing [1],Badger--04,20,,,20s,8,No Facksen Racing,,,1,,,,,,,,
,,,Project Apex [1],PrA-doctorjones,22,,,22s,9,Project Apex,,,1,,,,,,,,
,,,Racing Team Coyote [1],PrimeApeX21,23,boky2006zg,21,44s,10,Racing Team Coyote,,,3,,,Racing Team Coyote [2],jppganhao,18,,,18
,,,Rhein-Rur-Motorsport [1],Lumpi-0707,19,oooBismarkooo,7,26s,11,Rhein-Rur-Motorsport,,,5,,,Rhein-Rur-Motorsport [2],Milo_GT881,4,|--Hennes--|,3,7
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CD,CI,CJ,,,,,,,,,,,,
