,,,,,,,,,,,,,,,,,,,,,
,7.,,Race:,Laguna Seca,,,,,,,,,,,Teamwertung,,Laguna Seca,,,,
,28,, Drivers             Date:,20.11.2023,Fastest Lap:,"1:20,363",by,FGR_M-Rabak,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,FGR_M-Rabak,,,,CD,CI,CJ,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,FGR_Topeca,Feelgood Racing,Nissan GT-R '18,,1,,"0:51:21,436",,  28 ³,,31,,1,KotzBärTV [1],KBTV_Normbiz_GT,29,KBTV_Jenner,25,54
,2,,KBTV_Normbiz_GT,KotzBärTV,Lexus RC F,,1,,"0:51:26,796","+ 0:05,360",  27 ²,,29,,2,Racing Team Coyote [1],PrimeApeX21,23,boky2006zg,21,44
,3,,Roozay_33,International Racing Crew,Genesis X,,1,,"0:51:40,992","+ 0:19,556",  26 ¹,,27,,3,Feelgood Racing [1],FGR_Topeca,31,FGR_M-Rabak,7,38
,4,,KBTV_Jenner,KotzBärTV,Nissan GT-R '18,,1,,"0:51:49,493","+ 0:28,057",25,,25,,4,International Racing Crew [1],Roozay_33,27,PMR_Swissracer66,9,36
,5,,Gorgi_meets_GT,Maibert MacLon Racing,McLaren 650S,,1,,"0:51:50,177","+ 0:28,741",24,,24,,5,Maibert MacLon Racing [1],Gorgi_meets_GT,24,L-O-N,8,32
,6,,PrimeApeX21,Racing Team Coyote,BMW M6 Sprint '16,,2,,"0:51:50,556","+ 0:29,120",23,,23,,6,de Shadaim Racing [1],J-de-Shadaim,16,MSWdjjc27,15,31
,7,,PrA-doctorjones,Project Apex,Porsche 911 RSR,,1,,"0:51:51,235","+ 0:29,799",22,,22,,7,KotzBärTV [2],KBTV_Rocket,17,KBTV_xpress,10,27
,8,,boky2006zg,Racing Team Coyote,BMW M6 Endurance '16,,1,,"0:51:51,939","+ 0:30,503",21,,21,,8,Rhein-Rur-Motorsport [1],Lumpi-0707,19,oooBismarkooo,7,26
,9,,Badger--04,No Facksen Racing,Mercedes AMG GT3 '20,,2,,"0:52:00,398","+ 0:38,962",20,,20,,9,Project Apex [1],PrA-doctorjones,22,,,22
,10,,Lumpi-0707,Rhein-Rur-Motorsport,Genesis X,,2,,"0:52:01,869","+ 0:40,433",19,,19,,10,No Facksen Racing [1],Badger--04,20,,,20
,11,,jppganhao,Racing Team Coyote,BMW M6 Endurance '16,,2,,"0:52:02,364","+ 0:40,928",18,,18,,11,Racing Team Coyote [2],jppganhao,18,,,18
,12,,KBTV_Rocket,KotzBärTV,Porsche 911 RSR,,1,,"0:52:04,814","+ 0:43,378",17,,17,,12,Herrmann Motorsport [1],HM_Tobi,13,,,13
,13,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,1,,"0:52:11,399","+ 0:49,963",16,,16,,13,Digital Racing Cologne [1],Timfra,12,,,12
,14,,MSWdjjc27,de Shadaim Racing,Nissan GT-R '18,,1,,"0:52:15,676","+ 0:54,240",15,,15,,14,Rhein-Rur-Motorsport [2],Milo_GT881,4,|--Hennes--|,3,7
,15,,Der-Schumi-84,,Mercedes AMG GT3 '20,,2,,"0:52:16,995","+ 0:55,559",14,,14,,,,,,,,
,16,,HM_Tobi,Herrmann Motorsport,Mazda RX,,2,,"0:52:23,664","+ 1:02,228",13,,13,,,,,,,,
,17,,Timfra,Digital Racing Cologne,Porsche 911 RSR,,2,,"0:52:28,711","+ 1:07,275",12,,12,,,,,,,,
,18,,D4NT3_BL4xX,,Peugeot RCZ,,1,,"0:52:31,395","+ 1:09,959",11,,11,,,,,,,,
,19,,KBTV_xpress,KotzBärTV,Porsche 911 RSR,,2,,"0:52:31,796","+ 1:10,360",10,,10,,,,,,,,
,20,,PMR_Swissracer66,International Racing Crew,VW BEETLE,,1,,"0:52:45,049","+ 1:23,613",9,,9,,,,,,,,
,21,,L-O-N,Maibert MacLon Racing,Peugeot RCZ,,2,,"0:52:46,066","+ 1:24,630",8,,8,,,,,,,,
,22,,oooBismarkooo,Rhein-Rur-Motorsport,McLaren 650S,,1,+20s,"0:52:51,809","+ 1:30,373",7,,7,,,,,,,,
